,Sku_code,ORDER_SUM,rate,Munit
0,08340,80.0,20,箱
1,10500,280.0,140,个
2,13000,598.0,25,箱
3,40035,48.0,12,箱
4,40036,108.0,12,箱
5,40046,12.0,12,箱
6,40470,60.0,10,箱
7,43080,1320.0,11,箱
8,07600,2805.0,29,箱
9,07660,308.0,10,箱
10,05960,1736.0,22,箱
11,65780,387.0,30,箱
12,01270,32.0,8,箱
13,65260,276.0,2,箱
14,40075,140.0,20,箱
15,13020,4576.0,23,箱
16,73129,4000.0,1,箱
17,79449,730.0,1,箱
18,73067,3400.0,1,箱
19,80259,300.0,50,箱
20,73073,38.0,1,箱
21,77035,10.0,1,箱
22,71416,500.0,1,箱
23,72043,3.0,1,箱
24,79204,1.0,1,箱
25,77044,20.0,1,箱
26,73010,9.0,1,箱
27,80043,25.0,1,箱
28,78023,200.0,1,箱
29,79478,2.0,1,箱
30,79156,10.0,1,箱
31,08270,3861.0,25,箱
32,08660,1850.0,25,箱
33,10510,252.0,55,只
34,11750,2530.0,10,箱
35,11810,101.0,6,箱
36,11850,60.0,1,箱
37,11860,15.0,15,箱
38,16010,27756.0,18,斤
39,40037,108.0,12,箱
40,40067,12.0,12,箱
41,40069,800.0,20,箱
42,40074,300.0,6,箱
43,40480,80.0,10,箱
44,41126,72.0,12,箱
45,43030,0.0,10,箱
46,43155,12.0,12,箱
47,07310,4537.5,13,箱
48,07540,3717.0,21,箱
49,07970,0.0,12,箱
50,06290,110.0,11,箱
51,43410,24.0,12,箱
52,67207,240.0,12,箱
53,04300,136.0,18,箱
54,79036,10750.0,1,箱
55,76016,310.0,1,箱
56,72030,80.0,1,箱
57,76043,10.0,1,箱
58,72006,6.0,1,箱
59,79190,1.0,1,箱
60,73090,100.0,1,箱
61,10130,90.0,14,箱
62,12130,350.0,5,斤
63,13160,1700.0,20,箱
64,30200,4788.0,36,箱
65,14190,1110.0,15,箱
66,16040,16119.0,27,斤
67,40077,200.0,10,箱
68,40370,312.0,15,箱
69,08150,500.0,20,箱
70,04130,0.0,18,箱
71,05590,1386.0,33,箱
72,06390,1770.0,10,箱
73,43490,48.0,12,箱
74,65180,465.0,15,箱
75,65520,131.0,1,箱
76,65730,49.0,24,箱
77,65770,800.0,25,箱
78,66150,40.0,5,盒
79,08910,17952.0,25,箱
80,12010,630.0,10,根
81,73061,200.0,1,箱
82,80162,2150.0,50,箱
83,73078,800.0,1,箱
84,74021,3.0,1,箱
85,79084,5.0,1,箱
86,71000,240.0,1,箱
87,72008,20.0,1,箱
88,79006,10.0,1,箱
89,79027,20.0,1,箱
90,80294,15.0,10,箱
91,78889,10.0,1,箱
92,79203,2.0,1,箱
93,10890,1144.0,26,箱
94,11580,4422.0,26,箱
95,11670,14140.0,10,箱
96,11710,912.0,12,箱
97,12030,208.0,18,斤
98,12190,60.0,5,斤
99,12630,409.2,13,斤
100,13050,430.5,12,箱
101,40073,192.0,16,箱
102,40387,192.0,6,箱
103,42177,361.0,20,箱
