,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,,,,
1,07540,优选泰国桂圆,285.0,152.0,133.0,0.0
2,07310,金火龙果,374.0,296.0,78.0,0.0
3,11620,带叶鲜橙（小）,219.0,146.0,73.0,0.0
4,11600,满山红富士（大）,,,,
5,16010,春蕉,1378.0,985.0,393.0,0.0
6,16040,进口蕉,804.0,173.0,631.0,0.0
7,07350,泰国椰青,387.0,192.0,195.0,0.0
8,13160,南水梨,131.0,89.0,42.0,0.0
9,06390,金边香芒,166.0,120.0,46.0,0.0
10,05200,沙洲绿宝瓜,1649.0,672.0,977.0,0.0
11,01310,克伦森无籽红提,346.0,306.0,40.0,0.0
12,08890,金香露蜜桔,,,,
13,05020,鲜丰玉麒麟,587.0,162.0,425.0,0.0
14,07640,智利车厘子J,400.0,80.0,320.0,0.0
15,06850,百香果（盒）,29.0,28.0,1.0,0.0
16,65770,冰糖橙,122.0,24.0,98.0,0.0
17,07600,菲律宾凤梨,132.0,69.0,63.0,0.0
18,12190,龙珠果,19.0,12.0,7.0,0.0
19,01270,冰糖木瓜,9.0,6.0,3.0,0.0
20,07340,火参果,7.0,4.0,3.0,0.0
21,07300,蜜宝红心火龙果,61.0,55.0,6.0,0.0
22,11650,优选香梨,101.0,74.0,27.0,0.0
23,07950,金尧榴莲,318.0,122.0,196.0,0.0
24,11710,甄选蓝莓,134.0,68.0,66.0,0.0
25,12130,原种红玉木瓜,98.0,32.0,66.0,0.0
26,07220,台湾释迦,18.0,15.0,3.0,0.0
27,12240,珍珠牛奶枣,158.0,100.0,58.0,0.0
