,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,666,474,192,0
1,07540,优选泰国桂圆,534,356,178,0
2,07310,金火龙果,757,601,156,0
3,11620,带叶鲜橙（小）,280,298,-18,-18
4,11600,满山红富士（大）,176,199,-23,-23
5,16010,春蕉,2050,743,1307,0
6,16040,进口蕉,1460,229,1231,0
7,07350,泰国椰青,427,299,128,0
8,13160,南水梨,245,238,7,0
9,06390,金边香芒,375,253,122,0
10,05200,沙洲绿宝瓜,3122,1436,1686,0
11,01310,克伦森无籽红提,762,335,427,0
12,08890,金香露蜜桔,246,161,85,0
13,05020,鲜丰玉麒麟,389,362,27,0
14,07640,智利车厘子J,454,86,368,0
15,06850,百香果（盒）,43,51,-8,-8
16,65770,冰糖橙,152,97,55,0
17,07600,菲律宾凤梨,186,122,64,0
18,12190,龙珠果,24,20,4,0
19,01270,冰糖木瓜,17,11,6,0
20,07340,火参果,16,12,4,0
21,07300,蜜宝红心火龙果,144,94,50,0
22,11650,优选香梨,159,157,2,0
23,07950,金尧榴莲,288,145,143,0
24,11710,甄选蓝莓,183,150,33,0
25,12130,原种红玉木瓜,132,43,89,0
26,07220,台湾释迦,25,45,-20,-20
27,12240,珍珠牛奶枣,304,145,159,0
