,Sku_code,ORDER_SUM,rate,Munit
0,08340,120.0,20,箱
1,40036,276.0,12,箱
2,40075,120.0,20,箱
3,43080,550.0,11,箱
4,65260,92.0,2,箱
5,65780,27.0,30,箱
6,01270,48.0,8,箱
7,07600,1897.5,29,箱
8,10500,160.0,140,个
9,13000,494.0,25,箱
10,13020,3608.0,23,箱
11,40046,72.0,12,箱
12,40470,130.0,10,箱
13,73010,10.0,1,箱
14,73067,1400.0,1,箱
15,72043,1.0,1,箱
16,73073,41.0,1,箱
17,79449,120.0,1,箱
18,73129,900.0,1,箱
19,40035,0.0,12,箱
20,80259,250.0,50,箱
21,80043,25.0,1,箱
22,72010,15.0,1,箱
23,80149,2.0,1,箱
24,06290,40.0,11,箱
25,40480,140.0,10,箱
26,11850,45.0,1,箱
27,79036,7500.0,1,箱
28,43155,60.0,12,箱
29,43030,20.0,10,箱
30,43410,48.0,12,箱
31,67207,504.0,12,箱
32,07540,3192.0,21,箱
33,07970,12.0,12,箱
34,08270,9261.0,25,箱
35,08660,900.0,25,箱
36,10510,108.0,55,只
37,16010,26595.0,18,斤
38,40037,60.0,12,箱
39,40067,96.0,12,箱
40,40069,460.0,20,箱
41,40074,156.0,6,箱
42,04300,714.0,18,箱
43,07310,3700.0,13,箱
44,11750,430.0,10,箱
45,11810,121.0,6,箱
46,11860,0.0,15,箱
47,41126,84.0,12,箱
48,42187,168.0,1,箱
49,76016,120.0,1,箱
50,76043,10.0,1,箱
51,77374,50.0,1,箱
52,72006,4.0,1,箱
53,72030,100.0,1,箱
54,74012,1.0,1,箱
55,73090,50.0,1,箱
56,79190,1.0,1,箱
57,40670,180.0,12,箱
58,04210,77.0,9,斤
59,12130,320.0,5,斤
60,43490,60.0,12,箱
61,65180,600.0,15,箱
62,65730,91.0,24,箱
63,65770,720.0,25,箱
64,08910,2222.0,25,箱
65,10130,42.0,14,箱
66,13160,1780.0,20,箱
67,14190,1215.0,15,箱
68,16040,4671.0,27,斤
69,30200,3168.0,36,箱
70,40370,312.0,15,箱
71,05590,1240.0,33,箱
72,06390,1200.0,10,箱
73,12010,370.0,10,根
74,73061,600.0,1,箱
75,80162,1100.0,50,箱
76,73078,800.0,1,箱
77,79385,10.0,1,箱
78,79226,1.0,1,箱
79,06000,0.0,8,箱
80,77398,10.0,1,箱
81,79441,10.0,1,箱
82,79428,50.0,1,箱
83,71009,20.0,1,箱
84,80244,49.0,1,箱
85,74073,5.0,1,箱
86,79360,30.0,30,箱
87,79006,5.0,1,箱
88,72008,20.0,1,箱
89,71000,30.0,1,箱
90,73101,200.0,1,箱
91,74021,3.0,1,箱
92,74004,1.0,1,箱
93,79239,300.0,300,箱
94,11580,7832.0,26,箱
95,40680,204.0,12,箱
96,79001,4.0,1,箱
97,73022,4600.0,1,箱
98,77041,6.0,1,箱
99,43009,40.0,1,箱
100,43046,182.0,1,箱
101,01310,3672.0,14,箱
102,10890,1034.0,26,箱
103,12190,60.0,5,斤
104,12630,365.2,13,斤
105,13050,546.0,12,箱
106,40054,352.0,16,箱
107,40056,20.0,4,箱
108,40073,176.0,16,箱
109,05180,9720.0,15,箱
110,07220,90.0,12,箱
111,07290,1010.0,35,箱
112,07390,118.8,10,箱
113,11670,440.0,10,箱
114,11630,525.0,30,箱
115,11710,816.0,12,箱
116,12030,272.0,18,斤
117,42177,440.0,20,箱
118,40387,156.0,6,箱
119,73076,300.0,1,箱
120,72042,26.0,1,箱
121,73161,400.0,1,箱
122,74030,5.0,1,箱
123,74015,2.0,1,箱
124,76017,12.0,1,箱
125,75003,5.0,1,箱
126,74019,100.0,1,箱
127,77410,5.0,1,箱
128,82034,9.0,1,箱
129,79300,50.0,1,箱
130,11440,1196.0,20,箱
131,01160,49.2,17,箱
132,03090,3216.0,12,盒
133,07940,901.0,18,箱
134,40047,24.0,12,箱
135,40053,60.0,20,箱
136,40066,120.0,12,箱
137,40137,3372.0,12,箱
138,06060,81.0,36,箱
139,07190,410.0,22,箱
140,11840,0.0,18,箱
141,80131,3800.0,1,箱
142,79470,11100.0,1,箱
143,73054,130.0,1,箱
144,73021,7300.0,1,箱
145,73059,66.0,1,箱
146,76024,25.0,1,箱
147,77338,60.0,1,箱
148,79471,1200.0,200,箱
149,73057,200.0,1,箱
150,73066,50.0,1,箱
151,07470,1420.0,20,箱
152,12240,1400.0,13,箱
153,03080,456.0,12,箱
154,05020,4860.0,26,箱
155,07270,144.0,12,箱
156,43170,1770.0,30,箱
157,65230,798.0,15,箱
158,65600,833.0,20,斤
159,01070,528.0,18,箱
160,03180,192.0,12,箱
161,10040,168.0,29,箱
162,12390,10.0,12,只
163,40045,70.0,10,箱
164,40076,160.0,20,箱
165,06740,570.0,20,箱
166,06790,1320.0,18,箱
167,06860,0.0,7,箱
168,07350,1728.0,9,箱
169,11690,238.0,15,箱
170,11890,165.0,1,箱
171,12050,830.0,10,箱
172,42220,1488.0,24,箱
173,74075,120.0,1,箱
174,79042,2.0,1,箱
175,73006,140.0,1,箱
176,77311,50.0,1,箱
177,71448,60.0,1,箱
178,10840,0.0,20,斤
179,07070,0.0,33,箱
180,80075,2.0,1,箱
181,77361,30.0,1,箱
182,76019,1.0,1,箱
183,71441,10.0,1,箱
184,74032,1.0,1,箱
185,05200,10080.0,18,箱
186,43042,182.0,1,箱
187,43330,36.0,3,箱
188,43360,78.0,3,箱
189,43430,132.0,12,箱
190,07640,800.0,10,箱
191,07950,1769.0,14,箱
192,08020,22020.0,30,箱
193,08050,225.0,20,箱
194,08180,10476.0,36,箱
195,08330,180.0,20,箱
196,08790,735.0,20,箱
197,10010,522.0,18,箱
198,10490,570.0,12,箱
199,40057,150.0,12,箱
200,40068,252.0,18,箱
201,06710,200.0,38,箱
