,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,352,242,110,0
1,07540,优选泰国桂圆,428,216,212,0
2,07310,金火龙果,871,566,305,0
3,11620,带叶鲜橙（小）,321,299,22,0
4,11600,满山红富士（大）,409,155,254,0
5,16010,春蕉,1497,1265,232,0
6,16040,进口蕉,670,331,339,0
7,07350,泰国椰青,360,161,199,0
8,13160,南水梨,308,58,250,0
9,06390,金边香芒,231,117,114,0
10,05200,沙洲绿宝瓜,3630,1073,2557,0
11,01310,克伦森无籽红提,621,243,378,0
12,08890,金香露蜜桔,302,120,182,0
13,05020,鲜丰玉麒麟,183,267,-84,-84
14,07640,智利车厘子J,241,60,181,0
15,06850,百香果（盒）,30,31,-1,-1
16,65770,冰糖橙,127,36,91,0
17,07600,菲律宾凤梨,116,74,42,0
18,12190,龙珠果,21,9,12,0
19,01270,冰糖木瓜,8,4,4,0
20,07340,火参果,8,4,4,0
21,07300,蜜宝红心火龙果,120,51,69,0
22,11650,优选香梨,73,51,22,0
23,07950,金尧榴莲,273,138,135,0
24,11710,甄选蓝莓,147,65,82,0
25,12130,原种红玉木瓜,83,34,49,0
26,07220,台湾释迦,23,18,5,0
27,12240,珍珠牛奶枣,190,88,102,0
