,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,,,,
1,07540,优选泰国桂圆,,,,
2,07310,金火龙果,450.0,276.0,174.0,0.0
3,11620,带叶鲜橙（小）,48.0,82.0,-34.0,-34.0
4,11600,满山红富士（大）,,,,
5,16010,春蕉,794.0,709.0,85.0,0.0
6,16040,进口蕉,589.0,357.0,232.0,0.0
7,07350,泰国椰青,,,,
8,13160,南水梨,123.0,147.0,-24.0,-24.0
9,06390,金边香芒,185.0,107.0,78.0,0.0
10,05200,沙洲绿宝瓜,933.0,636.0,297.0,0.0
11,01310,克伦森无籽红提,199.0,187.0,12.0,0.0
12,08890,金香露蜜桔,,,,
13,05020,鲜丰玉麒麟,503.0,190.0,313.0,0.0
14,07640,智利车厘子J,,,,
15,06850,百香果（盒）,35.0,16.0,19.0,0.0
16,65770,冰糖橙,21.0,14.0,7.0,0.0
17,07600,菲律宾凤梨,265.0,75.0,190.0,0.0
18,12190,龙珠果,10.0,9.0,1.0,0.0
19,01270,冰糖木瓜,13.0,8.0,5.0,0.0
20,07340,火参果,9.0,4.0,5.0,0.0
21,07300,蜜宝红心火龙果,55.0,46.0,9.0,0.0
22,11650,优选香梨,102.0,108.0,-6.0,-6.0
23,07950,金尧榴莲,,,,
24,11710,甄选蓝莓,222.0,189.0,33.0,0.0
25,12130,原种红玉木瓜,78.0,49.0,29.0,0.0
26,07220,台湾释迦,68.0,56.0,12.0,0.0
27,12240,珍珠牛奶枣,140.0,77.0,63.0,0.0
