,Sku_code,ORDER_SUM,rate,Munit
0,40036,96.0,12,箱
1,40046,24.0,12,箱
2,40075,80.0,20,箱
3,40470,90.0,10,箱
4,43080,759.0,11,箱
5,65260,34.0,2,箱
6,01270,80.0,8,箱
7,05960,700.0,22,箱
8,07600,2365.0,29,箱
9,07660,26.0,10,箱
10,65780,585.0,30,箱
11,08340,60.0,20,箱
12,13000,624.0,25,箱
13,13020,3212.0,23,箱
14,40035,48.0,12,箱
15,73067,3400.0,1,箱
16,72043,2.0,1,箱
17,73129,1400.0,1,箱
18,79449,200.0,1,箱
19,80259,550.0,50,箱
20,73073,62.0,1,箱
21,73010,12.0,1,箱
22,82032,1.0,1,箱
23,72010,30.0,1,箱
24,75201,4.0,1,箱
25,77105,10.0,1,箱
26,73003,1.0,1,箱
27,79478,2.0,1,箱
28,40074,318.0,6,箱
29,40037,96.0,12,箱
30,40067,48.0,12,箱
31,40069,280.0,20,箱
32,41126,48.0,12,箱
33,43030,30.0,10,箱
34,43155,48.0,12,箱
35,43410,48.0,12,箱
36,04300,119.0,18,箱
37,07310,3125.0,13,箱
38,07450,2037.0,21,箱
39,67207,276.0,12,箱
40,07970,12.0,12,箱
41,08270,3105.0,25,箱
42,08660,1400.0,25,箱
43,10510,156.0,55,只
44,11750,200.0,10,箱
45,11810,165.0,6,箱
46,11850,30.0,1,箱
47,16010,14958.0,18,斤
48,79036,21000.0,1,箱
49,73075,200.0,1,箱
50,76016,420.0,1,箱
51,77374,100.0,1,箱
52,72006,22.0,1,箱
53,76043,6.0,1,箱
54,72030,140.0,1,箱
55,73090,200.0,1,箱
56,80321,4.0,1,箱
57,77031,11.0,1,箱
58,74022,6.0,1,箱
59,10130,54.0,14,箱
60,12130,210.0,5,斤
61,16040,12393.0,27,斤
62,65770,350.0,25,箱
63,40077,170.0,10,箱
64,43490,24.0,12,箱
65,65180,285.0,15,箱
66,05590,1221.0,33,箱
67,06390,1250.0,10,箱
68,65520,101.0,1,箱
69,65730,49.0,24,箱
70,66150,40.0,5,盒
71,08150,350.0,20,箱
72,08910,1435.0,25,箱
73,12010,310.0,10,根
74,13160,1260.0,20,箱
75,14190,855.0,15,箱
76,73061,700.0,1,箱
77,80162,2500.0,50,箱
78,73078,1300.0,1,箱
79,71000,200.0,1,箱
80,71009,10.0,1,箱
81,78889,136.0,1,箱
82,79239,600.0,300,箱
83,76009,1.0,1,箱
84,80244,16.0,1,箱
85,79006,8.0,1,箱
86,80294,1.0,10,箱
87,74021,6.0,1,箱
88,79428,10.0,1,箱
89,76002,1.0,1,箱
90,79203,1.0,1,箱
91,71418,100.0,1,箱
92,74017,5.0,1,箱
93,04520,160.0,8,箱
94,11710,936.0,12,箱
95,42177,399.0,20,箱
96,40073,112.0,16,箱
