,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,526.0,,,,786,
1,07540,优选泰国桂圆,301.0,301.0,0.0,0.0,396,396.0
2,07310,金火龙果,1051.0,444.0,607.0,0.0,174,781.0
3,11620,带叶鲜橙（小）,333.0,257.0,76.0,0.0,247,323.0
4,11600,满山红富士（大）,,,,,6,
5,16010,春蕉,1786.0,1247.0,539.0,0.0,869,1408.0
6,16040,进口蕉,1001.0,249.0,752.0,0.0,161,913.0
7,07350,泰国椰青,727.0,583.0,144.0,0.0,1135,1279.0
8,13160,南水梨,190.0,155.0,35.0,0.0,172,207.0
9,06390,金边香芒,369.0,285.0,84.0,0.0,286,370.0
10,05200,沙洲绿宝瓜,1324.0,1327.0,-3.0,-3.0,1937,1934.0
11,01310,克伦森无籽红提,405.0,444.0,-39.0,-39.0,690,651.0
12,08890,金香露蜜桔,,,,,249,
13,05020,鲜丰玉麒麟,375.0,361.0,14.0,0.0,364,378.0
14,07640,智利车厘子J,736.0,134.0,602.0,0.0,96,698.0
15,06850,百香果（盒）,25.0,53.0,-28.0,-28.0,81,53.0
16,65770,冰糖橙,80.0,61.0,19.0,0.0,120,139.0
17,07600,菲律宾凤梨,126.0,109.0,17.0,0.0,126,143.0
18,12190,龙珠果,20.0,20.0,0.0,0.0,30,30.0
19,01270,冰糖木瓜,8.0,13.0,-5.0,-5.0,20,15.0
20,07340,火参果,8.0,4.0,4.0,0.0,3,7.0
21,07300,蜜宝红心火龙果,118.0,126.0,-8.0,-8.0,164,156.0
22,11650,优选香梨,112.0,143.0,-31.0,-31.0,176,145.0
23,07950,金尧榴莲,588.0,158.0,430.0,0.0,213,643.0
24,11710,甄选蓝莓,143.0,160.0,-17.0,-17.0,181,164.0
25,12130,原种红玉木瓜,81.0,64.0,17.0,0.0,64,81.0
26,07220,台湾释迦,55.0,44.0,11.0,0.0,38,49.0
27,12240,珍珠牛奶枣,194.0,178.0,16.0,0.0,294,310.0
