,Sku_code,ORDER_SUM,rate,Munit
0,10500,160.0,140,个
1,13000,468.0,25,箱
2,40036,36.0,12,箱
3,40075,200.0,20,箱
4,40470,40.0,10,箱
5,43080,671.0,11,箱
6,05960,2450.0,22,箱
7,07600,2090.0,29,箱
8,65260,262.0,2,箱
9,65780,72.0,30,箱
10,08340,100.0,20,箱
11,40046,12.0,12,箱
12,01270,64.0,8,箱
13,13020,3300.0,23,箱
14,72043,8.0,1,箱
15,73010,7.0,1,箱
16,73067,3100.0,1,箱
17,73129,2800.0,1,箱
18,73073,24.0,1,箱
19,71416,50.0,1,箱
20,80259,300.0,50,箱
21,80043,25.0,1,箱
22,75004,3.0,1,箱
23,79449,30.0,1,箱
24,79204,2.0,1,箱
25,71103,40.0,1,箱
26,79156,10.0,1,箱
27,75201,1.0,1,箱
28,08660,1225.0,25,箱
29,10510,108.0,55,只
30,11750,900.0,10,箱
31,11810,35.0,6,箱
32,11850,15.0,1,箱
33,11860,15.0,15,箱
34,16010,22842.0,18,斤
35,40067,24.0,12,箱
36,40480,60.0,10,箱
37,41126,144.0,12,箱
38,43030,40.0,10,箱
39,43155,24.0,12,箱
40,04300,2227.0,18,箱
41,06290,80.0,11,箱
42,07540,2982.0,21,箱
43,08270,6048.0,25,箱
44,67207,216.0,12,箱
45,40074,360.0,6,箱
46,42187,144.0,1,箱
47,07970,24.0,12,箱
48,40069,140.0,20,箱
49,40037,72.0,12,箱
50,43410,12.0,12,箱
51,07310,3412.5,13,箱
52,79036,5500.0,1,箱
53,72006,29.0,1,箱
54,76016,190.0,1,箱
55,74012,1.0,1,箱
56,08910,1738.0,25,箱
57,10130,36.0,14,箱
58,12010,250.0,10,根
59,12130,260.0,5,斤
60,13160,1300.0,20,箱
61,16040,6588.0,27,斤
62,30200,3204.0,36,箱
63,40370,232.0,15,箱
64,43490,0.0,12,箱
65,65180,570.0,15,箱
66,04210,65.0,9,斤
67,06390,1270.0,10,箱
68,65730,63.0,24,箱
69,65770,525.0,25,箱
70,66150,740.0,5,盒
71,14190,1005.0,15,箱
72,05590,1600.0,33,箱
73,78889,165.0,1,箱
74,74021,8.0,1,箱
75,79239,900.0,300,箱
76,79428,60.0,1,箱
77,72008,100.0,1,箱
78,74073,12.0,1,箱
79,80162,1850.0,50,箱
80,74004,1.0,1,箱
81,73061,400.0,1,箱
82,79203,1.0,1,箱
83,80244,40.0,1,箱
84,73078,700.0,1,箱
85,71000,70.0,1,箱
86,79360,120.0,30,箱
87,71009,30.0,1,箱
88,79450,300.0,1,箱
89,79242,20.0,1,箱
90,77398,10.0,1,箱
91,10890,3542.0,26,箱
92,11580,7744.0,26,箱
93,11630,675.0,30,箱
94,11710,792.0,12,箱
95,12190,60.0,5,斤
96,12630,321.2,13,斤
97,13050,399.0,12,箱
98,40056,44.0,4,箱
99,40073,192.0,16,箱
100,40387,126.0,6,箱
101,43009,0.0,1,箱
102,42177,260.0,20,箱
103,43046,84.0,1,箱
104,01310,3024.0,14,箱
105,05180,3840.0,15,箱
106,07220,174.0,12,箱
107,07290,530.0,35,箱
108,65590,120.0,25,箱
109,12030,112.0,18,斤
110,11670,2070.0,10,箱
111,79352,3.0,1,箱
112,73022,6000.0,1,箱
113,76017,36.0,1,箱
114,76001,1.0,1,箱
115,72042,19.0,1,箱
116,74019,100.0,1,箱
117,75003,4.0,1,箱
118,73083,100.0,1,箱
119,74030,2.0,1,箱
120,79300,60.0,1,箱
121,73161,1300.0,1,箱
122,79001,13.0,1,箱
123,78024,100.0,1,箱
124,73076,400.0,1,箱
125,79374,1.0,1,箱
126,80060,35.0,1,箱
127,40047,12.0,12,箱
128,40053,0.0,20,箱
129,40066,72.0,12,箱
130,40137,2340.0,12,箱
131,01160,49.2,17,箱
132,03090,4908.0,12,盒
133,06060,882.0,36,箱
134,07940,561.0,18,箱
135,79470,10900.0,1,箱
136,07190,560.0,22,箱
137,11840,0.0,18,箱
138,73021,10500.0,1,箱
139,73057,300.0,1,箱
140,73059,41.0,1,箱
141,80131,4300.0,1,箱
142,73054,1160.0,1,箱
143,76024,18.0,1,箱
144,79443,9.0,1,箱
145,79471,200.0,200,箱
146,73155,300.0,1,箱
147,77338,30.0,1,箱
148,73119,1.0,1,箱
149,10040,224.0,29,箱
150,11690,176.0,15,箱
151,11890,189.0,1,箱
152,12050,790.0,10,箱
153,12240,1316.0,13,箱
154,12390,15.0,12,只
155,40045,0.0,10,箱
156,40076,140.0,20,箱
157,42220,1224.0,24,箱
158,43170,660.0,30,箱
159,01070,528.0,18,箱
160,03080,1068.0,12,箱
161,03180,240.0,12,箱
162,05020,4920.0,26,箱
163,06740,600.0,20,箱
164,06790,1125.0,18,箱
165,06860,0.0,7,箱
166,07350,855.0,9,箱
167,65230,784.0,15,箱
168,65600,260.0,20,斤
169,07270,216.0,12,箱
170,07470,1480.0,20,箱
171,73006,110.0,1,箱
172,71441,160.0,1,箱
173,74075,720.0,1,箱
174,79042,2.0,1,箱
175,71448,180.0,1,箱
176,79314,5.0,1,箱
177,77311,10.0,1,箱
178,76019,2.0,1,箱
179,75006,2.0,1,箱
180,77361,40.0,1,箱
181,80188,50.0,1,箱
182,79434,10.0,1,箱
183,79361,15.0,15,箱
184,08330,60.0,20,箱
185,08790,555.0,20,箱
186,10010,252.0,18,箱
187,10490,370.0,12,箱
188,12070,2331.0,7,箱
189,40057,60.0,12,箱
190,40068,72.0,18,箱
191,40135,13620.0,12,箱
192,42180,0.0,1,箱
193,43042,56.0,1,箱
194,43330,15.0,3,箱
195,43360,39.0,3,箱
196,05200,11385.0,18,箱
197,06710,130.0,38,箱
198,06850,170.0,40,斤
199,07340,24.0,8,箱
200,07430,4.0,20,箱
201,07640,1390.0,10,箱
202,07700,280.0,5,箱
203,07950,1653.0,14,箱
204,08020,21180.0,30,箱
205,08050,360.0,20,箱
206,71434,1460.0,1,箱
207,73016,9.0,1,箱
208,73046,1500.0,1,箱
209,43430,156.0,12,箱
210,71417,1430.0,1,箱
211,71428,20.0,1,箱
212,79077,32000.0,1,箱
213,73007,84.0,1,箱
214,74011,24.0,1,箱
215,73145,75.0,1,箱
216,73146,200.0,1,箱
217,79101,1.0,1,箱
218,77047,100.0,1,箱
219,73033,12000.0,1,箱
220,76027,2.0,1,箱
221,80033,1.0,1,箱
222,80039,1.0,1,箱
223,71432,30.0,1,箱
224,79024,2.0,1,箱
225,72031,40.0,1,箱
226,08950,36.0,1,箱
227,11650,619.5,10,箱
228,11900,73.0,8,箱
229,16070,112.0,16,箱
230,40044,10.0,10,箱
231,40055,816.0,8,箱
232,40065,24.0,12,箱
233,43420,144.0,12,箱
234,44203,0.0,12,箱
235,01300,112.0,4,箱
236,04170,4185.0,27,箱
237,06120,120.0,16,箱
238,07300,540.0,10,箱
239,67206,160.0,10,箱
240,11620,3350.0,30,箱
241,73011,6600.0,1,箱
242,77030,90.0,1,箱
243,77121,16.0,1,箱
244,77377,4.0,1,箱
245,79353,10.0,1,箱
246,79354,11.0,1,箱
247,73148,120.0,1,箱
248,73020,400.0,1,箱
249,77330,30.0,1,箱
250,74072,6.0,1,箱
251,73091,20.0,1,箱
252,79211,1.0,1,箱
253,79383,1500.0,300,箱
254,74003,1.0,1,箱
255,79202,1.0,1,箱
256,77034,100.0,1,箱
