time,缺货率,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,库存周转率,库存周转天数,总成本
2019-12-01,0.005523989898989899,865256.86271,1104.74443,43004.814249999996,6741.0,489296.29,0.3633123076898915,4.619615952729429,916107.42139
2019-12-02,0.0,1108149.8536599998,1330.290945,55077.03050000001,0.0,457500.67,0.2374513087768941,5.5351417207515805,1164557.175105
2019-12-03,0.0,1306268.0732600002,1517.40395,64923.86050000001,0.0,437853.48,0.3245951878643179,6.785910677196378,1372709.33771
2019-12-04,0.0,1301573.93139,1497.8837825,64690.55325000001,0.0,408145.435,0.35204581873857815,5.717325175120994,1367762.3684225
2019-12-05,0.0,745110.36822,965.2637749999999,37033.3185,0.0,449194.81,0.34665649756194805,7.172020578611085,783108.950495
2019-12-06,0.0,693151.73578,820.0333849999998,34450.881499999996,0.0,262031.51000000007,0.2179742160531912,8.840618562696177,728422.650665
2019-12-07,0.02317583732057416,545668.19729,744.5190650000001,27120.68575,35823.6,404210.7,0.347295809828611,5.285540757851429,609357.002105
2019-12-08,0.0,1035222.3533900001,1225.0602299999998,51452.403249999996,0.0,392024.33,0.3526417392588428,6.155713057814008,1087899.81687
2019-12-09,0.0,905520.9715000001,1184.2516375,45006.012500000004,0.0,568262.775,0.5051436364702474,3.287233981760492,951711.2356375001
2019-12-10,0.0026497685277261864,429802.19255999994,1069.8747000000003,21361.938,1278.65,1285271.88,0.6034671292605172,2.3853635461064195,453512.65525999997
2019-12-11,0.0,708599.3637499999,813.2569925,35218.65625,0.0,217767.73500000002,0.1938260729125583,12.82475235094309,744631.2769925
2019-12-12,0.0,687886.6537,880.3921075000001,34189.1975,0.0,393216.31499999994,0.29388626125855083,6.088525038548525,722956.2433075
2019-12-13,0.023760330578512397,368619.16384,652.2078750000001,18321.032,2706.6078,571574.47,0.5539124360511908,3.4759882441642174,390299.011515
2019-12-14,0.0,601025.8270800002,834.6585325,29872.058999999997,0.0,474434.705,0.36626460447577236,4.550843685849309,631732.5446125002
2019-12-15,0.07762508567195232,424668.1118000001,643.3626975,21106.765000000003,15793.13045,442454.795,0.5034564877015475,4.44062636504216,462211.36994750006
2019-12-16,0.04339881224303335,577909.35548,683.44894,28723.129000000004,43912.8,217972.71999999997,0.3018854031983915,7.172362991507773,651228.7334200001
2019-12-17,0.0,772349.0857800001,926.8913549999997,38387.1315,0.0,318297.45,0.3022763329868955,7.158938597570802,811663.1086350001
2019-12-18,0.0,920960.0082299999,1049.8683725,45773.36025,0.0,268802.335,0.26235868429647846,9.446538731967015,967783.2368524999
2019-12-19,0.0,1143383.6807699997,1277.3860924999997,56828.21475000001,0.0,281643.595,0.1820976820607476,10.02326448720545,1201489.2816124998
2019-12-20,0.0,1074874.4972900003,1215.36182,53423.18575,0.0,293796.21,0.2677217005318912,8.180497864776402,1129513.0448600003
2019-12-21,0.01467304625199362,1007831.4129400001,1186.0783675000002,50091.02449999999,21263.04,368515.755,0.33959199314093136,7.675448508543128,1080371.5558075001
2019-12-22,0.0,989462.59738,1133.11278,49178.061499999996,0.0,299103.10000000003,0.259310933185096,9.254489551718144,1039773.77166
2019-12-23,0.0,760560.7476,900.0942375000001,37801.229999999996,0.0,288139.27499999997,0.2527721183802981,8.577819147513328,799262.0718375
2019-12-24,0.00101010101010101,756979.02544,903.3564450000002,37623.21199999999,288.90000000000003,301784.41,0.47154535534494796,6.6369884325679696,795794.493885
2019-12-25,0.0,760096.6596799999,949.91186,37778.164000000004,0.0,388697.16000000003,0.42309241920334534,4.6105814783653,798824.7355399999
2019-12-26,0.0,762497.3981999999,900.92395,37897.48500000001,0.0,285948.49999999994,0.3553542773138014,6.330824895970928,801295.8071499999
2019-12-27,0.045454545454545456,1326228.4914800003,1479.0478300000002,65915.92899999999,599.1893,321458.49999999994,0.27897267397462916,7.688588257343568,1394222.6576100003
2019-12-28,0.0,807933.56928,956.6656200000001,40155.744,0.0,307101.48000000004,0.26286593476523035,7.768565192239016,849045.9789
2019-12-29,0.0,547416.38888,708.0070499999998,27207.574,0.0,327711.13999999996,0.4434215212146576,5.559062208249888,575331.96993
2019-12-30,0.0,851558.5178400001,939.6324099999998,42323.982,0.0,186305.53999999998,0.1765106498143788,13.40972798100931,894822.13225
2019-12-31,0.0,476676.4406400001,681.0674899999999,23691.672,0.0,414468.10000000003,0.45984496809498326,3.9127119959825065,501049.1801300001
