,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,,,,,16,
1,07540,优选泰国桂圆,,,,,8,
2,07310,金火龙果,326.0,265.0,61.0,0.0,330,391.0
3,11620,带叶鲜橙（小）,67.0,70.0,-3.0,-3.0,73,70.0
4,11600,满山红富士（大）,,,,,8,
5,16010,春蕉,445.0,659.0,-214.0,-214.0,873,659.0
6,16040,进口蕉,600.0,467.0,133.0,0.0,419,552.0
7,07350,泰国椰青,,,,,435,
8,13160,南水梨,197.0,75.0,122.0,0.0,21,143.0
9,06390,金边香芒,209.0,123.0,86.0,0.0,84,170.0
10,05200,沙洲绿宝瓜,599.0,791.0,-192.0,-192.0,1076,884.0
11,01310,克伦森无籽红提,146.0,208.0,-62.0,-62.0,279,217.0
12,08890,金香露蜜桔,,,,,6,
13,05020,鲜丰玉麒麟,161.0,224.0,-63.0,-63.0,291,228.0
14,07640,智利车厘子J,,,,,582,
15,06850,百香果（盒）,18.0,28.0,-10.0,-10.0,38,28.0
16,65770,冰糖橙,14.0,12.0,2.0,0.0,10,12.0
17,07600,菲律宾凤梨,126.0,74.0,52.0,0.0,58,110.0
18,12190,龙珠果,7.0,5.0,2.0,0.0,4,6.0
19,01270,冰糖木瓜,7.0,4.0,3.0,0.0,5,8.0
20,07340,火参果,3.0,6.0,-3.0,-3.0,10,7.0
21,07300,蜜宝红心火龙果,58.0,33.0,25.0,0.0,20,45.0
22,11650,优选香梨,77.0,138.0,-61.0,-61.0,202,141.0
23,07950,金尧榴莲,,,,,52,
24,11710,甄选蓝莓,153.0,214.0,-61.0,-61.0,280,219.0
25,12130,原种红玉木瓜,78.0,29.0,49.0,0.0,24,73.0
26,07220,台湾释迦,41.0,51.0,-10.0,-10.0,71,61.0
27,12240,珍珠牛奶枣,194.0,118.0,76.0,0.0,130,206.0
