,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,910,735,175,0
1,07540,优选泰国桂圆,727,428,299,0
2,07310,金火龙果,2296,802,1494,0
3,11620,带叶鲜橙（小）,647,511,136,0
4,11600,满山红富士（大）,372,776,-404,-404
5,16010,春蕉,2471,3856,-1385,-1385
6,16040,进口蕉,1550,361,1189,0
7,07350,泰国椰青,629,463,166,0
8,13160,南水梨,468,274,194,0
9,06390,金边香芒,614,397,217,0
10,05200,沙洲绿宝瓜,3468,1570,1898,0
11,01310,克伦森无籽红提,737,679,58,0
12,08890,金香露蜜桔,318,173,145,0
13,05020,鲜丰玉麒麟,670,368,302,0
14,07640,智利车厘子J,471,338,133,0
15,06850,百香果（盒）,92,43,49,0
16,65770,冰糖橙,199,68,131,0
17,07600,菲律宾凤梨,240,135,105,0
18,12190,龙珠果,41,23,18,0
19,01270,冰糖木瓜,21,11,10,0
20,07340,火参果,23,11,12,0
21,07300,蜜宝红心火龙果,206,141,65,0
22,11650,优选香梨,290,197,93,0
23,07950,金尧榴莲,280,121,159,0
24,11710,甄选蓝莓,293,251,42,0
25,12130,原种红玉木瓜,105,53,52,0
26,07220,台湾释迦,82,66,16,0
27,12240,珍珠牛奶枣,332,218,114,0
