,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,,,,,125,
1,07540,优选泰国桂圆,146.0,136.0,10.0,0.0,254,264.0
2,07310,金火龙果,693.0,251.0,442.0,0.0,371,813.0
3,11620,带叶鲜橙（小）,143.0,121.0,22.0,0.0,106,128.0
4,11600,满山红富士（大）,,,,,62,
5,16010,春蕉,820.0,779.0,41.0,0.0,882,923.0
6,16040,进口蕉,766.0,219.0,547.0,0.0,141,688.0
7,07350,泰国椰青,142.0,101.0,41.0,0.0,71,112.0
8,13160,南水梨,184.0,69.0,115.0,0.0,66,181.0
9,06390,金边香芒,171.0,99.0,72.0,0.0,96,168.0
10,05200,沙洲绿宝瓜,804.0,731.0,73.0,0.0,871,944.0
11,01310,克伦森无籽红提,270.0,217.0,53.0,0.0,277,330.0
12,08890,金香露蜜桔,,,,,0,
13,05020,鲜丰玉麒麟,282.0,167.0,115.0,0.0,55,170.0
14,07640,智利车厘子J,676.0,216.0,460.0,0.0,0,460.0
15,06850,百香果（盒）,24.0,19.0,5.0,0.0,14,19.0
16,65770,冰糖橙,77.0,20.0,57.0,0.0,0,57.0
17,07600,菲律宾凤梨,115.0,66.0,49.0,0.0,107,156.0
18,12190,龙珠果,12.0,11.0,1.0,0.0,17,18.0
19,01270,冰糖木瓜,7.0,4.0,3.0,0.0,4,7.0
20,07340,火参果,4.0,2.0,2.0,0.0,3,5.0
21,07300,蜜宝红心火龙果,93.0,49.0,44.0,0.0,39,83.0
22,11650,优选香梨,72.0,77.0,-5.0,-5.0,123,118.0
23,07950,金尧榴莲,273.0,136.0,137.0,0.0,9,146.0
24,11710,甄选蓝莓,92.0,71.0,21.0,0.0,93,114.0
25,12130,原种红玉木瓜,59.0,26.0,33.0,0.0,31,64.0
26,07220,台湾释迦,12.0,17.0,-5.0,-5.0,25,20.0
27,12240,珍珠牛奶枣,125.0,78.0,47.0,0.0,81,128.0
