,Sku_code,ORDER_SUM,rate,Munit
0,01270,64.0,8,箱
1,10500,270.0,140,个
2,13000,676.0,25,箱
3,13020,4400.0,23,箱
4,40035,48.0,12,箱
5,40036,108.0,12,箱
6,40046,24.0,12,箱
7,07600,2310.0,29,箱
8,08340,60.0,20,箱
9,40470,70.0,10,箱
10,43080,1540.0,11,箱
11,65260,136.0,2,箱
12,65780,18.0,30,箱
13,72043,4.0,1,箱
14,73067,2700.0,1,箱
15,73129,4300.0,1,箱
16,79210,1.0,1,箱
17,79359,2.0,1,箱
18,76015,15.0,1,箱
19,71132,100.0,1,箱
20,80259,450.0,50,箱
21,73010,18.0,1,箱
22,79449,70.0,1,箱
23,73073,15.0,1,箱
24,81002,80.0,1,箱
25,71416,20.0,1,箱
26,71429,10.0,1,箱
27,40480,90.0,10,箱
28,43155,24.0,12,箱
29,41126,72.0,12,箱
30,11860,105.0,15,箱
31,08660,2125.0,25,箱
32,04300,833.0,18,箱
33,10510,144.0,55,只
34,11750,450.0,10,箱
35,11810,827.0,6,箱
36,11850,390.0,1,箱
37,16010,11034.0,18,斤
38,40037,60.0,12,箱
39,06290,20.0,11,箱
40,07310,4625.0,13,箱
41,07540,4872.0,21,箱
42,07970,0.0,12,箱
43,40067,108.0,12,箱
44,40069,660.0,20,箱
45,42187,192.0,1,箱
46,43030,60.0,10,箱
47,43410,12.0,12,箱
48,67000,55.0,7,箱
49,67207,252.0,12,箱
50,79036,11750.0,1,箱
51,76016,160.0,1,箱
52,72030,40.0,1,箱
53,72006,20.0,1,箱
54,73122,10.0,1,箱
55,76043,5.0,1,箱
56,73090,50.0,1,箱
57,71462,100.0,1,箱
58,74022,3.0,1,箱
59,71447,10.0,1,箱
60,30200,1512.0,36,箱
61,06000,20.0,8,箱
62,65550,2030.0,7,箱
63,65180,495.0,15,箱
64,01020,168.0,20,箱
65,04210,404.0,9,斤
66,12010,500.0,10,根
67,12130,310.0,5,斤
68,13160,1580.0,20,箱
69,14190,1305.0,15,箱
70,16040,5211.0,27,斤
71,05590,1440.0,33,箱
72,06390,1360.0,10,箱
73,08460,1300.0,28,箱
74,10130,42.0,14,箱
75,40370,128.0,15,箱
76,40670,84.0,12,箱
77,43490,0.0,12,箱
78,65730,91.0,24,箱
79,65770,1380.0,25,箱
80,74017,1.0,1,箱
81,71000,110.0,1,箱
82,80244,15.0,1,箱
83,73061,400.0,1,箱
84,78889,30.0,1,箱
85,79226,9.0,1,箱
86,80162,1850.0,50,箱
87,79242,20.0,1,箱
88,74021,4.0,1,箱
89,79428,40.0,1,箱
90,73078,500.0,1,箱
91,79098,1.0,1,箱
92,76020,1.0,1,箱
93,73101,200.0,1,箱
94,79385,35.0,1,箱
95,71124,10.0,1,箱
96,11630,425.0,30,箱
97,12190,40.0,5,斤
98,11710,1152.0,12,箱
99,01310,3724.0,14,箱
100,10890,440.0,26,箱
101,11670,1480.0,10,箱
102,12030,208.0,18,斤
103,12630,314.6,13,斤
104,13050,556.5,12,箱
105,40054,272.0,16,箱
106,05180,4725.0,15,箱
107,07220,72.0,12,箱
108,07290,80.0,35,箱
109,07390,114.4,10,箱
110,40056,260.0,4,箱
111,40073,240.0,16,箱
112,40387,180.0,6,箱
113,40680,72.0,12,箱
114,42177,720.0,20,箱
115,43009,0.0,1,箱
116,43046,154.0,1,箱
117,43340,15.0,3,箱
118,77041,31.0,1,箱
119,79001,35.0,1,箱
120,73022,5600.0,1,箱
121,76017,60.0,1,箱
122,73076,300.0,1,箱
123,75003,2.0,1,箱
124,77104,30.0,1,箱
125,72042,47.0,1,箱
126,82035,6.0,1,箱
127,79310,50.0,50,箱
128,74015,2.0,1,箱
129,73161,600.0,1,箱
130,79300,40.0,1,箱
131,79482,6.0,1,箱
132,73083,100.0,1,箱
133,07190,420.0,22,箱
134,01160,98.4,17,箱
135,03090,4140.0,12,盒
136,11440,1219.0,20,箱
137,11840,300.0,18,箱
138,40053,120.0,20,箱
139,40047,12.0,12,箱
140,07940,493.0,18,箱
141,40066,132.0,12,箱
142,40137,1656.0,12,箱
143,73059,118.0,1,箱
144,80003,2.0,1,箱
145,77338,25.0,1,箱
146,73054,650.0,1,箱
147,80131,7000.0,1,箱
148,79471,600.0,200,箱
149,79470,11000.0,1,箱
150,73021,5500.0,1,箱
151,76024,33.0,1,箱
152,81000,1.0,1,箱
153,81001,2.0,1,箱
154,73155,200.0,1,箱
155,79443,1.0,1,箱
156,01070,348.0,18,箱
157,07270,210.0,12,箱
158,03080,1140.0,12,箱
159,03180,216.0,12,箱
160,05020,6180.0,26,箱
161,10840,1050.0,20,斤
162,11690,56.0,15,箱
163,12050,918.0,10,箱
164,12240,1414.0,13,箱
165,12390,15.0,12,只
166,40045,50.0,10,箱
167,06740,590.0,20,箱
168,06790,1635.0,18,箱
169,06860,6.0,7,箱
170,07070,1221.0,33,箱
171,07350,1512.0,9,箱
172,07470,1760.0,20,箱
173,10040,224.0,29,箱
174,42220,1416.0,24,箱
175,43170,600.0,30,箱
176,65230,896.0,15,箱
177,65600,1268.0,20,斤
178,73006,160.0,1,箱
179,71441,140.0,1,箱
180,80188,20.0,1,箱
181,72111,20.0,1,箱
182,71001,30.0,1,箱
183,79042,6.0,1,箱
184,74075,720.0,1,箱
185,71448,20.0,1,箱
186,76019,3.0,1,箱
187,80041,1.0,1,箱
188,74032,1.0,1,箱
189,07640,570.0,10,箱
190,40057,70.0,12,箱
191,08050,300.0,20,箱
192,11600,2470.0,26,箱
193,10490,470.0,12,箱
194,05200,16635.0,18,箱
195,06710,330.0,38,箱
196,06850,240.0,40,斤
197,07340,48.0,8,箱
198,07430,16.0,20,箱
199,07950,1609.5,14,箱
200,08020,11088.0,30,箱
201,08180,3996.0,36,箱
202,08330,200.0,20,箱
203,08790,1290.0,20,箱
204,08890,1980.0,25,箱
205,10010,630.0,18,箱
206,10060,360.0,20,箱
207,40068,540.0,18,箱
208,42180,20.0,1,箱
209,43042,140.0,1,箱
210,43330,15.0,3,箱
211,43360,96.0,3,箱
212,43430,168.0,12,箱
213,73145,50.0,1,箱
214,73007,90.0,1,箱
215,71417,800.0,1,箱
216,76027,7.0,1,箱
217,71434,940.0,1,箱
218,73033,9000.0,1,箱
219,73046,800.0,1,箱
220,73016,3.0,1,箱
221,72031,40.0,1,箱
222,77047,100.0,1,箱
223,79077,10000.0,1,箱
224,79311,30.0,1,箱
225,73146,100.0,1,箱
226,77011,25.0,1,箱
227,08950,123.0,1,箱
228,40055,776.0,8,箱
229,04170,1377.0,27,箱
230,11620,3175.0,30,箱
231,11650,882.0,10,箱
232,40044,140.0,10,箱
233,06120,100.0,16,箱
234,07300,620.0,10,箱
235,07440,140.0,15,斤
236,40065,132.0,12,箱
237,43420,168.0,12,箱
238,44203,24.0,12,箱
239,67206,256.0,10,箱
240,73148,150.0,1,箱
241,79154,18.0,1,箱
242,77030,90.0,1,箱
243,73091,60.0,1,箱
244,73011,6600.0,1,箱
245,77121,9.0,1,箱
246,71449,40.0,1,箱
247,79225,1.0,1,箱
248,79452,10.0,1,箱
249,77363,20.0,1,箱
