,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,,,,
1,07540,优选泰国桂圆,,115.0,,
2,07310,金火龙果,926.0,272.0,654.0,0.0
3,11620,带叶鲜橙（小）,89.0,91.0,-2.0,-2.0
4,11600,满山红富士（大）,,,,
5,16010,春蕉,625.0,664.0,-39.0,-39.0
6,16040,进口蕉,518.0,379.0,139.0,0.0
7,07350,泰国椰青,329.0,,,
8,13160,南水梨,235.0,63.0,172.0,0.0
9,06390,金边香芒,247.0,122.0,125.0,0.0
10,05200,沙洲绿宝瓜,1065.0,734.0,331.0,0.0
11,01310,克伦森无籽红提,214.0,202.0,12.0,0.0
12,08890,金香露蜜桔,,,,
13,05020,鲜丰玉麒麟,418.0,304.0,114.0,0.0
14,07640,智利车厘子J,,,,
15,06850,百香果（盒）,25.0,29.0,-4.0,-4.0
16,65770,冰糖橙,16.0,16.0,0.0,0.0
17,07600,菲律宾凤梨,133.0,96.0,37.0,0.0
18,12190,龙珠果,14.0,11.0,3.0,0.0
19,01270,冰糖木瓜,13.0,6.0,7.0,0.0
20,07340,火参果,5.0,6.0,-1.0,-1.0
21,07300,蜜宝红心火龙果,49.0,30.0,19.0,0.0
22,11650,优选香梨,90.0,98.0,-8.0,-8.0
23,07950,金尧榴莲,,,,
24,11710,甄选蓝莓,120.0,109.0,11.0,0.0
25,12130,原种红玉木瓜,80.0,39.0,41.0,0.0
26,07220,台湾释迦,38.0,39.0,-1.0,-1.0
27,12240,珍珠牛奶枣,228.0,88.0,140.0,0.0
