,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,408,230,178,0
1,07540,优选泰国桂圆,282,159,123,0
2,07310,金火龙果,1023,326,697,0
3,11620,带叶鲜橙（小）,138,80,58,0
4,11600,满山红富士（大）,183,66,117,0
5,16010,春蕉,1881,891,990,0
6,16040,进口蕉,677,317,360,0
7,07350,泰国椰青,312,109,203,0
8,13160,南水梨,318,56,262,0
9,06390,金边香芒,268,99,169,0
10,05200,沙洲绿宝瓜,2119,711,1408,0
11,01310,克伦森无籽红提,417,177,240,0
12,08890,金香露蜜桔,290,55,235,0
13,05020,鲜丰玉麒麟,194,81,113,0
14,07640,智利车厘子J,441,38,403,0
15,06850,百香果（盒）,21,17,4,0
16,65770,冰糖橙,89,29,60,0
17,07600,菲律宾凤梨,165,53,112,0
18,12190,龙珠果,19,6,13,0
19,01270,冰糖木瓜,7,5,2,0
20,07340,火参果,7,3,4,0
21,07300,蜜宝红心火龙果,69,29,40,0
22,11650,优选香梨,132,49,83,0
23,07950,金尧榴莲,316,129,187,0
24,11710,甄选蓝莓,160,66,94,0
25,12130,原种红玉木瓜,59,23,36,0
26,07220,台湾释迦,53,15,38,0
27,12240,珍珠牛奶枣,142,65,77,0
