,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,537,290,247,0
1,07540,优选泰国桂圆,384,232,152,0
2,07310,金火龙果,861,370,491,0
3,11620,带叶鲜橙（小）,181,127,54,0
4,11600,满山红富士（大）,124,95,29,0
5,16010,春蕉,1561,613,948,0
6,16040,进口蕉,806,193,613,0
7,07350,泰国椰青,334,168,166,0
8,13160,南水梨,169,79,90,0
9,06390,金边香芒,201,136,65,0
10,05200,沙洲绿宝瓜,1986,1109,877,0
11,01310,克伦森无籽红提,392,266,126,0
12,08890,金香露蜜桔,172,90,82,0
13,05020,鲜丰玉麒麟,287,206,81,0
14,07640,智利车厘子J,342,57,285,0
15,06850,百香果（盒）,19,24,-5,-5
16,65770,冰糖橙,78,46,32,0
17,07600,菲律宾凤梨,141,84,57,0
18,12190,龙珠果,22,8,14,0
19,01270,冰糖木瓜,8,8,0,0
20,07340,火参果,4,8,-4,-4
21,07300,蜜宝红心火龙果,103,62,41,0
22,11650,优选香梨,90,84,6,0
23,07950,金尧榴莲,225,111,114,0
24,11710,甄选蓝莓,136,96,40,0
25,12130,原种红玉木瓜,64,31,33,0
26,07220,台湾释迦,37,12,25,0
27,12240,珍珠牛奶枣,204,101,103,0
