,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,,,,
1,07540,优选泰国桂圆,269.0,185.0,84.0,0.0
2,07310,金火龙果,555.0,361.0,194.0,0.0
3,11620,带叶鲜橙（小）,251.0,172.0,79.0,0.0
4,11600,满山红富士（大）,,,,
5,16010,春蕉,1610.0,1516.0,94.0,0.0
6,16040,进口蕉,891.0,291.0,600.0,0.0
7,07350,泰国椰青,902.0,374.0,528.0,0.0
8,13160,南水梨,175.0,116.0,59.0,0.0
9,06390,金边香芒,306.0,203.0,103.0,0.0
10,05200,沙洲绿宝瓜,1554.0,1470.0,84.0,0.0
11,01310,克伦森无籽红提,597.0,346.0,251.0,0.0
12,08890,金香露蜜桔,,,,
13,05020,鲜丰玉麒麟,341.0,424.0,-83.0,-83.0
14,07640,智利车厘子J,513.0,129.0,384.0,0.0
15,06850,百香果（盒）,37.0,28.0,9.0,0.0
16,65770,冰糖橙,97.0,35.0,62.0,0.0
17,07600,菲律宾凤梨,133.0,77.0,56.0,0.0
18,12190,龙珠果,28.0,16.0,12.0,0.0
19,01270,冰糖木瓜,14.0,8.0,6.0,0.0
20,07340,火参果,11.0,5.0,6.0,0.0
21,07300,蜜宝红心火龙果,127.0,58.0,69.0,0.0
22,11650,优选香梨,117.0,117.0,0.0,0.0
23,07950,金尧榴莲,486.0,112.0,374.0,0.0
24,11710,甄选蓝莓,126.0,102.0,24.0,0.0
25,12130,原种红玉木瓜,80.0,40.0,40.0,0.0
26,07220,台湾释迦,28.0,10.0,18.0,0.0
27,12240,珍珠牛奶枣,293.0,125.0,168.0,0.0
