,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,666,474,192,0,718,910
1,07540,优选泰国桂圆,534,356,178,0,549,727
2,07310,金火龙果,757,601,156,0,2140,2296
3,11620,带叶鲜橙（小）,280,298,-18,-18,665,647
4,11600,满山红富士（大）,176,199,-23,-23,395,372
5,16010,春蕉,2050,743,1307,0,1164,2471
6,16040,进口蕉,1460,229,1231,0,319,1550
7,07350,泰国椰青,427,299,128,0,501,629
8,13160,南水梨,245,238,7,0,461,468
9,06390,金边香芒,375,253,122,0,492,614
10,05200,沙洲绿宝瓜,3122,1436,1686,0,1782,3468
11,01310,克伦森无籽红提,762,335,427,0,310,737
12,08890,金香露蜜桔,246,161,85,0,233,318
13,05020,鲜丰玉麒麟,389,362,27,0,643,670
14,07640,智利车厘子J,454,86,368,0,103,471
15,06850,百香果（盒）,43,51,-8,-8,100,92
16,65770,冰糖橙,152,97,55,0,144,199
17,07600,菲律宾凤梨,186,122,64,0,176,240
18,12190,龙珠果,24,20,4,0,37,41
19,01270,冰糖木瓜,17,11,6,0,15,21
20,07340,火参果,16,12,4,0,19,23
21,07300,蜜宝红心火龙果,144,94,50,0,156,206
22,11650,优选香梨,159,157,2,0,288,290
23,07950,金尧榴莲,288,145,143,0,137,280
24,11710,甄选蓝莓,183,150,33,0,260,293
25,12130,原种红玉木瓜,132,43,89,0,16,105
26,07220,台湾释迦,25,45,-20,-20,102,82
27,12240,珍珠牛奶枣,304,145,159,0,173,332
