,goods_code,商品名称,订货箱数,Stock,Inventory,日期,订货仓库,箱价,ORDER_SUM,stockout,缺货率,ito,ito_day,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,time
0,07540,优选泰国桂圆,165,195.0,30.0,2019-12-09,102.0,136.5,165.0,0.0,0,0.7333333333333333,1.3636363636363638,4119.57,15.356250000000001,204.75,0,22522.5,2019-12-28
1,07310,金火龙果,274,684.0,410.0,2019-12-09,102.0,135.0,274.0,0.0,0,0.25045703839122485,3.9927007299270074,55682.1,73.845,2767.5,0,36990.0,2019-12-28
2,11620,带叶鲜橙（小）,109,317.0,208.0,2019-12-09,102.0,90.0,109.0,0.0,0,0.20761904761904762,4.81651376146789,18832.32,23.625,936.0,0,9810.0,2019-12-28
3,07350,泰国椰青,183,1507.0,1324.0,2019-12-09,102.0,70.02,183.0,0.0,0,0.06464146944542565,15.469945355191257,93262.71888,99.11331,4635.324,0,12813.66,2019-12-28
4,13160,南水梨,261,1078.0,817.0,2019-12-09,102.0,110.0,261.0,0.0,0,0.13773087071240106,7.2605363984674325,90409.22,104.22500000000001,4493.5,0,28710.0,2019-12-28
5,06390,金边香芒,111,125.0,14.0,2019-12-09,102.0,85.0,111.0,0.0,0,0.7985611510791367,1.2522522522522521,1197.14,5.9075,59.5,0,9435.0,2019-12-28
6,05200,沙洲绿宝瓜,770,3304.0,2534.0,2019-12-09,102.0,72.0,770.0,0.0,0,0.13189448441247004,7.581818181818181,183542.688,210.168,9122.4,0,55440.0,2019-12-28
7,01310,克伦森无籽红提,302,1063.0,761.0,2019-12-09,102.0,216.0,302.0,0.0,0,0.16557017543859648,6.039735099337749,165362.256,196.992,8218.800000000001,0,65232.0,2019-12-28
8,05020,鲜丰玉麒麟,227,709.0,482.0,2019-12-09,102.0,105.0,227.0,0.0,0,0.19059613769941225,5.246696035242291,50913.66,62.5275,2530.5,0,23835.0,2019-12-28
9,06850,百香果（盒）,22,73.0,51.0,2019-12-09,102.0,17.5,22.0,0.0,0,0.1774193548387097,5.636363636363636,897.855,1.085,44.625,0,385.0,2019-12-28
10,65770,冰糖橙,16,131.0,115.0,2019-12-09,102.0,112.5,16.0,0.0,0,0.06504065040650407,15.374999999999998,13015.125,13.8375,646.875,0,1800.0,2019-12-28
11,07600,菲律宾凤梨,102,340.0,238.0,2019-12-09,102.0,110.0,102.0,0.0,0,0.17647058823529413,5.666666666666666,26337.08,31.79,1309.0,0,11220.0,2019-12-28
12,12190,龙珠果,7,20.0,13.0,2019-12-09,102.0,70.0,7.0,0.0,0,0.21212121212121213,4.714285714285714,915.46,1.155,45.5,0,490.0,2019-12-28
13,01270,冰糖木瓜,3,22.0,19.0,2019-12-09,102.0,55.04,3.0,0.0,0,0.07317073170731707,13.666666666666668,1052.03456,1.12832,52.288000000000004,0,165.12,2019-12-28
14,07340,火参果,1,6.0,5.0,2019-12-09,102.0,90.0,1.0,0.0,0,0.09090909090909091,11.0,452.7,0.495,22.5,0,90.0,2019-12-28
15,07300,蜜宝红心火龙果,44,618.0,574.0,2019-12-09,102.0,100.0,44.0,0.0,0,0.03691275167785235,27.09090909090909,57744.4,59.6,2870.0,0,4400.0,2019-12-28
16,11650,优选香梨,65,580.0,515.0,2019-12-09,102.0,63.0,65.0,0.0,0,0.0593607305936073,16.846153846153847,32639.670000000002,34.4925,1622.25,0,4095.0,2019-12-28
17,11710,甄选蓝莓,63,131.0,68.0,2019-12-09,102.0,110.03999999999999,63.0,0.0,0,0.3165829145728643,3.158730158730159,7527.616319999999,10.94898,374.13599999999997,0,6932.5199999999995,2019-12-28
18,12130,原种红玉木瓜,28,71.0,43.0,2019-12-09,102.0,38.0,28.0,0.0,0,0.24561403508771928,4.071428571428572,1643.804,2.166,81.7,0,1064.0,2019-12-28
19,07220,台湾释迦,16,20.0,4.0,2019-12-09,102.0,109.97999999999999,16.0,0.0,0,0.6666666666666666,1.5,442.55951999999996,1.3197599999999998,21.996,0,1759.6799999999998,2019-12-28
20,12240,珍珠牛奶枣,118,141.0,23.0,2019-12-09,102.0,84.0,118.0,0.0,0,0.7195121951219512,1.3898305084745763,1943.592,6.888,96.60000000000001,0,9912.0,2019-12-28
