,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,,,,,338,
1,07540,优选泰国桂圆,285.0,152.0,133.0,0.0,49,182.0
2,07310,金火龙果,374.0,296.0,78.0,0.0,324,402.0
3,11620,带叶鲜橙（小）,219.0,146.0,73.0,0.0,187,260.0
4,11600,满山红富士（大）,,,,,46,
5,16010,春蕉,1378.0,985.0,393.0,0.0,698,1091.0
6,16040,进口蕉,804.0,173.0,631.0,0.0,322,953.0
7,07350,泰国椰青,387.0,192.0,195.0,0.0,54,249.0
8,13160,南水梨,131.0,89.0,42.0,0.0,152,194.0
9,06390,金边香芒,166.0,120.0,46.0,0.0,115,161.0
10,05200,沙洲绿宝瓜,1649.0,672.0,977.0,0.0,151,1128.0
11,01310,克伦森无籽红提,346.0,306.0,40.0,0.0,329,369.0
12,08890,金香露蜜桔,,,,,2,
13,05020,鲜丰玉麒麟,587.0,162.0,425.0,0.0,0,425.0
14,07640,智利车厘子J,400.0,80.0,320.0,0.0,220,540.0
15,06850,百香果（盒）,29.0,28.0,1.0,0.0,27,28.0
16,65770,冰糖橙,122.0,24.0,98.0,0.0,0,98.0
17,07600,菲律宾凤梨,132.0,69.0,63.0,0.0,74,137.0
18,12190,龙珠果,19.0,12.0,7.0,0.0,9,16.0
19,01270,冰糖木瓜,9.0,6.0,3.0,0.0,5,8.0
20,07340,火参果,7.0,4.0,3.0,0.0,2,5.0
21,07300,蜜宝红心火龙果,61.0,55.0,6.0,0.0,81,87.0
22,11650,优选香梨,101.0,74.0,27.0,0.0,63,90.0
23,07950,金尧榴莲,318.0,122.0,196.0,0.0,182,378.0
24,11710,甄选蓝莓,134.0,68.0,66.0,0.0,21,87.0
25,12130,原种红玉木瓜,98.0,32.0,66.0,0.0,7,73.0
26,07220,台湾释迦,18.0,15.0,3.0,0.0,13,16.0
27,12240,珍珠牛奶枣,158.0,100.0,58.0,0.0,153,211.0
