,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,,,,
1,07540,优选泰国桂圆,251.0,165.0,86.0,0.0
2,07310,金火龙果,892.0,273.0,619.0,0.0
3,11620,带叶鲜橙（小）,238.0,109.0,129.0,0.0
4,11600,满山红富士（大）,,,,
5,16010,春蕉,1257.0,761.0,496.0,0.0
6,16040,进口蕉,655.0,519.0,136.0,0.0
7,07350,泰国椰青,416.0,183.0,233.0,0.0
8,13160,南水梨,106.0,75.0,31.0,0.0
9,06390,金边香芒,293.0,111.0,182.0,0.0
10,05200,沙洲绿宝瓜,1564.0,770.0,794.0,0.0
11,01310,克伦森无籽红提,476.0,209.0,267.0,0.0
12,08890,金香露蜜桔,,,,
13,05020,鲜丰玉麒麟,602.0,227.0,375.0,0.0
14,07640,智利车厘子J,,,,
15,06850,百香果（盒）,23.0,22.0,1.0,0.0
16,65770,冰糖橙,90.0,16.0,74.0,0.0
17,07600,菲律宾凤梨,182.0,102.0,80.0,0.0
18,12190,龙珠果,29.0,7.0,22.0,0.0
19,01270,冰糖木瓜,13.0,3.0,10.0,0.0
20,07340,火参果,8.0,1.0,7.0,0.0
21,07300,蜜宝红心火龙果,86.0,44.0,42.0,0.0
22,11650,优选香梨,118.0,65.0,53.0,0.0
23,07950,金尧榴莲,,,,
24,11710,甄选蓝莓,126.0,63.0,63.0,0.0
25,12130,原种红玉木瓜,85.0,28.0,57.0,0.0
26,07220,台湾释迦,27.0,16.0,11.0,0.0
27,12240,珍珠牛奶枣,188.0,118.0,70.0,0.0
