,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,,,,
1,07540,优选泰国桂圆,245.0,143.0,102.0,0.0
2,07310,金火龙果,806.0,272.0,534.0,0.0
3,11620,带叶鲜橙（小）,209.0,135.0,74.0,0.0
4,11600,满山红富士（大）,,,,
5,16010,春蕉,992.0,766.0,226.0,0.0
6,16040,进口蕉,709.0,356.0,353.0,0.0
7,07350,泰国椰青,288.0,151.0,137.0,0.0
8,13160,南水梨,156.0,57.0,99.0,0.0
9,06390,金边香芒,206.0,107.0,99.0,0.0
10,05200,沙洲绿宝瓜,1344.0,955.0,389.0,0.0
11,01310,克伦森无籽红提,349.0,215.0,134.0,0.0
12,08890,金香露蜜桔,,,,
13,05020,鲜丰玉麒麟,349.0,160.0,189.0,0.0
14,07640,智利车厘子J,861.0,52.0,809.0,0.0
15,06850,百香果（盒）,32.0,17.0,15.0,0.0
16,65770,冰糖橙,71.0,9.0,62.0,0.0
17,07600,菲律宾凤梨,130.0,82.0,48.0,0.0
18,12190,龙珠果,11.0,6.0,5.0,0.0
19,01270,冰糖木瓜,10.0,5.0,5.0,0.0
20,07340,火参果,4.0,5.0,-1.0,-1.0
21,07300,蜜宝红心火龙果,84.0,48.0,36.0,0.0
22,11650,优选香梨,124.0,70.0,54.0,0.0
23,07950,金尧榴莲,163.0,111.0,52.0,0.0
24,11710,甄选蓝莓,189.0,76.0,113.0,0.0
25,12130,原种红玉木瓜,57.0,29.0,28.0,0.0
26,07220,台湾释迦,42.0,30.0,12.0,0.0
27,12240,珍珠牛奶枣,141.0,83.0,58.0,0.0
