,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout,Suggestion_qty,Stock_new
0,65550,樱桃小番茄,,,,,59,
1,07540,优选泰国桂圆,,,,,32,
2,07310,金火龙果,1183.0,257.0,926.0,0.0,0,926.0
3,11620,带叶鲜橙（小）,95.0,89.0,6.0,0.0,83,89.0
4,11600,满山红富士（大）,,,,,4,
5,16010,春蕉,659.0,554.0,105.0,0.0,520,625.0
6,16040,进口蕉,600.0,465.0,135.0,0.0,383,518.0
7,07350,泰国椰青,512.0,183.0,329.0,0.0,0,329.0
8,13160,南水梨,115.0,86.0,29.0,0.0,206,235.0
9,06390,金边香芒,245.0,137.0,108.0,0.0,139,247.0
10,05200,沙洲绿宝瓜,833.0,881.0,-48.0,-48.0,1113,1065.0
11,01310,克伦森无籽红提,220.0,213.0,7.0,0.0,207,214.0
12,08890,金香露蜜桔,,,,,0,
13,05020,鲜丰玉麒麟,220.0,230.0,-10.0,-10.0,428,418.0
14,07640,智利车厘子J,,,,,746,
15,06850,百香果（盒）,44.0,25.0,19.0,0.0,6,25.0
16,65770,冰糖橙,18.0,16.0,2.0,0.0,14,16.0
17,07600,菲律宾凤梨,175.0,101.0,74.0,0.0,59,133.0
18,12190,龙珠果,21.0,7.0,14.0,0.0,0,14.0
19,01270,冰糖木瓜,8.0,11.0,-3.0,-3.0,16,13.0
20,07340,火参果,8.0,3.0,5.0,0.0,0,5.0
21,07300,蜜宝红心火龙果,61.0,48.0,13.0,0.0,36,49.0
22,11650,优选香梨,94.0,84.0,10.0,0.0,80,90.0
23,07950,金尧榴莲,,,,,6,
24,11710,甄选蓝莓,136.0,120.0,16.0,0.0,104,120.0
25,12130,原种红玉木瓜,78.0,39.0,39.0,0.0,41,80.0
26,07220,台湾释迦,45.0,30.0,15.0,0.0,23,38.0
27,12240,珍珠牛奶枣,150.0,114.0,36.0,0.0,192,228.0
