,Sku_code,Sku_name,Stock,ORDER_SUM,Inventory,stockout
0,65550,樱桃小番茄,,,,
1,07540,优选泰国桂圆,235.0,139.0,96.0,0.0
2,07310,金火龙果,1220.0,270.0,950.0,0.0
3,11620,带叶鲜橙（小）,167.0,86.0,81.0,0.0
4,11600,满山红富士（大）,,,,
5,16010,春蕉,984.0,494.0,490.0,0.0
6,16040,进口蕉,1064.0,388.0,676.0,0.0
7,07350,泰国椰青,398.0,155.0,243.0,0.0
8,13160,南水梨,338.0,62.0,276.0,0.0
9,06390,金边香芒,461.0,128.0,333.0,0.0
10,05200,沙洲绿宝瓜,1257.0,754.0,503.0,0.0
11,01310,克伦森无籽红提,343.0,188.0,155.0,0.0
12,08890,金香露蜜桔,,,,
13,05020,鲜丰玉麒麟,397.0,299.0,98.0,0.0
14,07640,智利车厘子J,,,,
15,06850,百香果（盒）,57.0,36.0,21.0,0.0
16,65770,冰糖橙,30.0,15.0,15.0,0.0
17,07600,菲律宾凤梨,272.0,113.0,159.0,0.0
18,12190,龙珠果,39.0,21.0,18.0,0.0
19,01270,冰糖木瓜,14.0,8.0,6.0,0.0
20,07340,火参果,18.0,11.0,7.0,0.0
21,07300,蜜宝红心火龙果,151.0,32.0,119.0,0.0
22,11650,优选香梨,142.0,90.0,52.0,0.0
23,07950,金尧榴莲,,,,
24,11710,甄选蓝莓,135.0,66.0,69.0,0.0
25,12130,原种红玉木瓜,182.0,22.0,160.0,0.0
26,07220,台湾释迦,112.0,56.0,56.0,0.0
27,12240,珍珠牛奶枣,322.0,116.0,206.0,0.0
