,goods_code,商品名称,订货箱数,Stock,Inventory,日期,订货仓库,箱价,ORDER_SUM,stockout,缺货率,ito,ito_day,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,time
0,07540,优选泰国桂圆,161,317.0,156.0,2019-12-06,102.0,136.5,161.0,0.0,0,0.3403805496828753,2.9378881987577636,21421.764,32.28225,1064.7,0,21976.5,2019-12-06
1,07310,金火龙果,324,736.0,412.0,2019-12-06,102.0,135.0,324.0,0.0,0,0.28222996515679444,3.5432098765432096,55953.72,77.49,2781.0,0,43740.0,2019-12-06
2,11620,带叶鲜橙（小）,80,319.0,239.0,2019-12-06,102.0,90.0,80.0,0.0,0,0.14336917562724014,6.9750000000000005,21639.06,25.11,1075.5,0,7200.0,2019-12-06
3,07350,泰国椰青,107,559.0,452.0,2019-12-06,102.0,70.02,107.0,0.0,0,0.10583580613254204,9.448598130841122,31838.93424,35.39511,1582.452,0,7492.139999999999,2019-12-06
4,13160,南水梨,56,259.0,203.0,2019-12-06,102.0,110.0,56.0,0.0,0,0.12121212121212122,8.25,22463.98,25.41,1116.5,0,6160.0,2019-12-06
5,06390,金边香芒,101,224.0,123.0,2019-12-06,102.0,85.0,101.0,0.0,0,0.2910662824207493,3.4356435643564356,10517.73,14.7475,522.75,0,8585.0,2019-12-06
6,05200,沙洲绿宝瓜,711,3817.0,3106.0,2019-12-06,102.0,72.0,711.0,0.0,0,0.10270114112379027,9.736990154711673,224973.792,249.228,11181.6,0,51192.0,2019-12-06
7,01310,克伦森无籽红提,175,416.0,241.0,2019-12-06,102.0,216.0,175.0,0.0,0,0.2663622526636225,3.7542857142857144,52368.336,70.956,2602.8,0,37800.0,2019-12-06
8,05020,鲜丰玉麒麟,82,486.0,404.0,2019-12-06,102.0,105.0,82.0,0.0,0,0.09213483146067415,10.853658536585366,42674.52,46.725,2121.0,0,8610.0,2019-12-06
9,06850,百香果（盒）,17,37.0,20.0,2019-12-06,102.0,17.5,17.0,0.0,0,0.2982456140350877,3.3529411764705883,352.1,0.49875,17.5,0,297.5,2019-12-06
10,65770,冰糖橙,29,68.0,39.0,2019-12-06,102.0,112.5,29.0,0.0,0,0.27102803738317754,3.6896551724137936,4413.825,6.01875,219.375,0,3262.5,2019-12-06
11,07600,菲律宾凤梨,53,273.0,220.0,2019-12-06,102.0,110.0,53.0,0.0,0,0.1075050709939148,9.30188679245283,24345.2,27.115000000000002,1210.0,0,5830.0,2019-12-06
12,12190,龙珠果,6,18.0,12.0,2019-12-06,102.0,70.0,6.0,0.0,0,0.2,5.0,845.04,1.05,42.0,0,420.0,2019-12-06
13,01270,冰糖木瓜,5,22.0,17.0,2019-12-06,102.0,55.04,5.0,0.0,0,0.1282051282051282,7.800000000000001,941.29408,1.07328,46.784,0,275.2,2019-12-06
14,07340,火参果,3,14.0,11.0,2019-12-06,102.0,90.0,3.0,0.0,0,0.12,8.333333333333334,995.94,1.125,49.5,0,270.0,2019-12-06
15,07300,蜜宝红心火龙果,29,189.0,160.0,2019-12-06,102.0,100.0,29.0,0.0,0,0.0830945558739255,12.03448275862069,16096.0,17.45,800.0,0,2900.0,2019-12-06
16,11650,优选香梨,49,1397.0,1348.0,2019-12-06,102.0,63.0,49.0,0.0,0,0.01785063752276867,56.0204081632653,85433.544,86.4675,4246.2,0,3087.0,2019-12-06
17,07950,金尧榴莲,134,192.0,58.0,2019-12-06,102.0,279.995,134.0,0.0,0,0.536,1.8656716417910446,16337.148260000002,34.999375,811.9855000000001,0,37519.33,2019-12-06
18,11710,甄选蓝莓,66,135.0,69.0,2019-12-06,102.0,110.03999999999999,66.0,0.0,0,0.3235294117647059,3.090909090909091,7638.316559999999,11.22408,379.638,0,7262.639999999999,2019-12-06
19,12130,原种红玉木瓜,23,70.0,47.0,2019-12-06,102.0,38.0,23.0,0.0,0,0.19658119658119658,5.086956521739131,1796.7160000000001,2.223,89.30000000000001,0,874.0,2019-12-06
20,07220,台湾释迦,15,18.0,3.0,2019-12-06,102.0,109.97999999999999,15.0,0.0,0,0.7142857142857143,1.4,331.91963999999996,1.15479,16.496999999999996,0,1649.6999999999998,2019-12-06
21,12240,珍珠牛奶枣,67,656.0,589.0,2019-12-06,102.0,84.0,67.0,0.0,0,0.05381526104417671,18.582089552238806,49772.856,52.29,2473.8,0,5628.0,2019-12-06
