,Sku_code,ORDER_SUM,rate,Munit
0,01270,16.0,8,箱
1,05960,574.0,22,箱
2,07600,1952.5,29,箱
3,07660,130.0,10,箱
4,10500,130.0,140,个
5,13000,598.0,25,箱
6,13020,2926.0,23,箱
7,40035,48.0,12,箱
8,40036,132.0,12,箱
9,40046,36.0,12,箱
10,40075,40.0,20,箱
11,40470,40.0,10,箱
12,43080,781.0,11,箱
13,65260,96.0,2,箱
14,65780,180.0,30,箱
15,08340,20.0,20,箱
16,73067,1300.0,1,箱
17,73073,27.0,1,箱
18,75201,2.0,1,箱
19,72043,1.0,1,箱
20,73010,8.0,1,箱
21,73096,20.0,1,箱
22,76055,2.0,1,箱
23,80259,150.0,50,箱
24,73129,600.0,1,箱
25,79449,100.0,1,箱
26,04300,204.0,18,箱
27,06290,70.0,11,箱
28,07540,2352.0,21,箱
29,07970,12.0,12,箱
30,08270,2106.0,25,箱
31,08660,1050.0,25,箱
32,07310,2725.0,13,箱
33,10510,84.0,55,只
34,11750,650.0,10,箱
35,11810,98.0,6,箱
36,16010,13122.0,18,斤
37,40037,72.0,12,箱
38,40067,36.0,12,箱
39,67207,132.0,12,箱
40,40074,312.0,6,箱
41,41126,12.0,12,箱
42,40480,40.0,10,箱
43,43030,0.0,10,箱
44,43155,36.0,12,箱
45,43410,12.0,12,箱
46,11850,30.0,1,箱
47,40069,300.0,20,箱
48,76016,90.0,1,箱
49,73075,200.0,1,箱
50,72030,40.0,1,箱
51,76043,5.0,1,箱
52,71462,50.0,1,箱
53,79036,5500.0,1,箱
54,05590,1056.0,33,箱
55,06390,910.0,10,箱
56,08150,310.0,20,箱
57,10130,36.0,14,箱
58,12010,250.0,10,根
59,12130,290.0,5,斤
60,13160,800.0,20,箱
61,14190,885.0,15,箱
62,16040,9207.0,27,斤
63,66150,80.0,5,盒
64,40077,140.0,10,箱
65,40370,152.0,15,箱
66,43490,0.0,12,箱
67,65180,450.0,15,箱
68,65520,108.0,1,箱
69,65730,28.0,24,箱
70,65770,225.0,25,箱
71,08910,1540.0,25,箱
72,73078,500.0,1,箱
73,74017,3.0,1,箱
74,74021,1.0,1,箱
75,80162,1100.0,50,箱
76,79428,30.0,1,箱
77,71000,10.0,1,箱
78,73061,200.0,1,箱
79,78889,100.0,1,箱
80,79203,1.0,1,箱
81,80294,10.0,10,箱
82,71124,10.0,1,箱
83,80244,43.0,1,箱
84,79242,200.0,1,箱
85,76020,3.0,1,箱
86,01310,1820.0,14,箱
87,04520,192.0,8,箱
88,07220,186.0,12,箱
89,07290,380.0,35,箱
90,07390,127.6,10,箱
91,05180,1950.0,15,箱
92,06810,435.0,15,箱
93,10890,440.0,26,箱
94,11580,3234.0,26,箱
95,11630,825.0,30,箱
96,11670,1950.0,10,箱
97,11710,792.0,12,箱
98,11740,600.0,10,箱
99,12030,200.0,18,斤
100,12190,35.0,5,斤
101,12630,145.2,13,斤
102,40073,64.0,16,箱
103,40387,120.0,6,箱
104,42177,152.0,20,箱
105,43009,40.0,1,箱
106,43046,112.0,1,箱
107,65590,41.0,25,箱
108,13050,483.0,12,箱
109,73022,4500.0,1,箱
110,72042,16.0,1,箱
111,73161,1500.0,1,箱
112,80311,30.0,10,箱
113,77104,20.0,1,箱
114,77041,2.0,1,箱
115,75003,3.0,1,箱
116,77410,2.0,1,箱
117,73076,100.0,1,箱
118,74015,4.0,1,箱
119,03090,2688.0,12,盒
120,06060,36.0,36,箱
121,07190,190.0,22,箱
122,07940,136.0,18,箱
123,30220,2175.0,25,箱
124,40047,0.0,12,箱
125,40066,144.0,12,箱
126,40086,12.0,6,箱
127,40137,996.0,12,箱
128,40053,0.0,20,箱
129,40085,81.0,9,箱
130,79470,5600.0,1,箱
131,80131,1400.0,1,箱
132,73059,27.0,1,箱
133,73057,800.0,1,箱
134,73021,3900.0,1,箱
135,79471,600.0,200,箱
136,79443,6.0,1,箱
137,73054,560.0,1,箱
138,76024,5.0,1,箱
139,77366,1.0,1,箱
140,01070,276.0,18,箱
141,03180,264.0,12,箱
142,06740,540.0,20,箱
143,06790,728.0,18,箱
144,06860,0.0,7,箱
145,07070,2808.0,33,箱
146,07270,180.0,12,箱
147,07470,960.0,20,箱
148,10040,112.0,29,箱
149,11690,232.0,15,箱
150,12050,460.0,10,箱
151,12240,975.0,13,箱
152,12390,10.0,12,只
153,40045,30.0,10,箱
154,40076,100.0,20,箱
155,43170,420.0,30,箱
156,65230,624.0,15,箱
157,42220,600.0,24,箱
158,07350,1107.0,9,箱
159,03080,1272.0,12,箱
160,05020,3600.0,26,箱
161,65600,616.0,20,斤
162,73006,170.0,1,箱
163,79042,1.0,1,箱
164,74075,360.0,1,箱
165,76019,1.0,1,箱
166,77311,30.0,1,箱
167,71448,300.0,1,箱
168,77361,100.0,1,箱
169,05200,7875.0,18,箱
170,06710,140.0,38,箱
171,06850,180.0,40,斤
172,07340,18.0,8,箱
173,07430,0.0,20,箱
174,07700,70.0,5,箱
175,08050,195.0,20,箱
176,08330,0.0,20,箱
177,08790,255.0,20,箱
178,08020,17790.0,30,箱
179,10010,270.0,18,箱
180,10490,260.0,12,箱
181,12070,1547.0,7,箱
182,40057,20.0,12,箱
183,40068,54.0,18,箱
184,42180,20.0,1,箱
185,43042,112.0,1,箱
186,43330,9.0,3,箱
187,43360,42.0,3,箱
188,43430,24.0,12,箱
189,72031,80.0,1,箱
190,74011,2.0,1,箱
191,80180,50.0,50,箱
192,79077,8000.0,1,箱
193,71434,820.0,1,箱
194,73146,300.0,1,箱
195,71417,70.0,1,箱
196,73145,250.0,1,箱
197,73007,48.0,1,箱
198,73046,500.0,1,箱
199,73016,1.0,1,箱
200,76027,2.0,1,箱
201,78888,30.0,1,箱
202,01300,40.0,4,箱
203,04170,162.0,27,箱
204,06120,120.0,16,箱
205,07300,300.0,10,箱
206,07560,645.0,16,箱
207,08950,53.0,1,箱
208,11620,1600.0,30,箱
209,40055,784.0,8,箱
210,67206,160.0,10,箱
211,44203,0.0,12,箱
212,43420,60.0,12,箱
213,11650,598.5,10,箱
214,40044,20.0,10,箱
215,40065,36.0,12,箱
216,79154,18.0,1,箱
217,73091,40.0,1,箱
218,80165,30.0,10,箱
219,73148,75.0,1,箱
220,71449,30.0,1,箱
221,76044,3.0,1,箱
222,73011,2100.0,1,箱
223,77034,1800.0,1,箱
224,74072,1.0,1,箱
225,79211,2.0,1,箱
226,77030,20.0,1,箱
