,Sku_code,ORDER_SUM,rate,Munit
0,65780,765.0,30,箱
1,08340,140.0,20,箱
2,13000,754.0,25,箱
3,13020,3850.0,23,箱
4,40035,84.0,12,箱
5,40046,48.0,12,箱
6,40075,180.0,20,箱
7,43080,858.0,11,箱
8,65260,286.0,2,箱
9,40470,40.0,10,箱
10,01270,56.0,8,箱
11,05960,882.0,22,箱
12,07600,2447.5,29,箱
13,07660,92.0,10,箱
14,71416,20.0,1,箱
15,73129,5700.0,1,箱
16,73073,79.0,1,箱
17,73067,5500.0,1,箱
18,78001,10.0,1,箱
19,79478,3.0,1,箱
20,79204,4.0,1,箱
21,79449,250.0,1,箱
22,75201,6.0,1,箱
23,80043,50.0,1,箱
24,73010,16.0,1,箱
25,78023,400.0,1,箱
26,80259,1000.0,50,箱
27,73096,170.0,1,箱
28,72043,1.0,1,箱
29,67207,180.0,12,箱
30,07310,3362.5,13,箱
31,07970,36.0,12,箱
32,08660,1550.0,25,箱
33,08270,4239.0,25,箱
34,10510,132.0,55,只
35,11750,1210.0,10,箱
36,11810,253.0,6,箱
37,16010,17523.0,18,斤
38,40037,84.0,12,箱
39,40067,48.0,12,箱
40,40069,260.0,20,箱
41,40074,408.0,6,箱
42,41126,12.0,12,箱
43,43155,72.0,12,箱
44,43410,24.0,12,箱
45,07450,2142.0,21,箱
46,04300,187.0,18,箱
47,79036,13000.0,1,箱
48,77374,350.0,1,箱
49,82003,1.0,1,箱
50,76016,180.0,1,箱
51,72006,41.0,1,箱
52,74022,1.0,1,箱
53,71462,30.0,1,箱
54,79102,1.0,1,箱
55,71447,20.0,1,箱
56,73122,3.0,1,箱
57,80321,2.0,1,箱
58,80004,1.0,1,箱
59,79190,2.0,1,箱
60,66150,160.0,5,盒
61,65770,425.0,25,箱
62,16040,12069.0,27,斤
63,08910,910.0,25,箱
64,10130,135.0,14,箱
65,12010,290.0,10,根
66,12130,350.0,5,斤
67,13160,1500.0,20,箱
68,43490,0.0,12,箱
69,65180,690.0,15,箱
70,65520,162.0,1,箱
71,65730,105.0,24,箱
72,14190,975.0,15,箱
73,05590,1254.0,33,箱
74,06390,1450.0,10,箱
75,08150,140.0,20,箱
76,40077,130.0,10,箱
77,71009,20.0,1,箱
78,73061,700.0,1,箱
79,76009,1.0,1,箱
80,79084,2.0,1,箱
81,71000,380.0,1,箱
82,71105,10.0,1,箱
83,74021,12.0,1,箱
84,80162,2350.0,50,箱
85,73078,600.0,1,箱
86,78889,95.0,1,箱
87,80244,27.0,1,箱
88,79006,10.0,1,箱
89,79428,60.0,1,箱
90,80294,32.0,10,箱
91,79441,10.0,1,箱
92,71418,100.0,1,箱
93,77033,50.0,1,箱
94,79226,1.0,1,箱
95,79242,10.0,1,箱
96,11630,1800.0,30,箱
97,10890,1298.0,26,箱
98,11580,3828.0,26,箱
99,11670,5770.0,10,箱
100,11710,1416.0,12,箱
101,11740,620.0,10,箱
102,12030,128.0,18,斤
103,12190,55.0,5,斤
104,12630,352.0,13,斤
105,13050,640.5,12,箱
106,40073,64.0,16,箱
107,40387,132.0,6,箱
108,42177,570.0,20,箱
109,43009,60.0,1,箱
110,43046,168.0,1,箱
111,65590,90.0,25,箱
112,01310,2847.0,14,箱
113,04520,184.0,8,箱
114,05180,3735.0,15,箱
115,06810,652.5,15,箱
116,07220,240.0,12,箱
117,07290,410.0,35,箱
118,07390,167.2,10,箱
119,73022,6400.0,1,箱
120,73161,2300.0,1,箱
121,74019,300.0,1,箱
122,79310,150.0,50,箱
123,82035,2.0,1,箱
124,72042,130.0,1,箱
125,74015,17.0,1,箱
126,79100,20.0,1,箱
127,73083,200.0,1,箱
128,80084,10.0,1,箱
129,77104,60.0,1,箱
130,78006,100.0,1,箱
131,80311,130.0,10,箱
132,79001,1.0,1,箱
133,78024,100.0,1,箱
134,77041,6.0,1,箱
135,79482,5.0,1,箱
136,80309,15.0,1,箱
137,74030,1.0,1,箱
138,79300,60.0,1,箱
139,75003,5.0,1,箱
140,73076,200.0,1,箱
141,03090,2916.0,12,盒
142,40053,20.0,20,箱
143,40066,132.0,12,箱
144,40086,66.0,6,箱
145,40085,198.0,9,箱
146,40137,2100.0,12,箱
147,07190,360.0,22,箱
148,30220,825.0,25,箱
149,06060,9.0,36,箱
150,07940,289.0,18,箱
151,40047,36.0,12,箱
152,73021,9900.0,1,箱
153,79470,11100.0,1,箱
154,80131,4200.0,1,箱
155,73059,130.0,1,箱
156,73155,1000.0,1,箱
157,78002,20.0,1,箱
158,77338,110.0,1,箱
159,76024,22.0,1,箱
160,73119,4.0,1,箱
161,79443,6.0,1,箱
162,72005,1.0,1,箱
163,73054,360.0,1,箱
164,79471,600.0,200,箱
165,81000,1.0,1,箱
166,73027,2.0,1,箱
167,73066,50.0,1,箱
168,73057,300.0,1,箱
169,12050,670.0,10,箱
170,10040,112.0,29,箱
171,11690,328.0,15,箱
172,11890,159.0,1,箱
173,12240,1521.0,13,箱
174,12390,35.0,12,只
175,40045,10.0,10,箱
176,40076,40.0,20,箱
177,42220,1248.0,24,箱
178,43170,1080.0,30,箱
179,65600,297.0,20,斤
180,03080,900.0,12,箱
181,01070,492.0,18,箱
182,03180,516.0,12,箱
183,05020,5970.0,26,箱
184,06740,800.0,20,箱
185,06790,1498.0,18,箱
186,07070,2700.0,33,箱
187,07270,336.0,12,箱
188,07470,1820.0,20,箱
189,07350,1287.0,9,箱
190,65230,637.0,15,箱
191,73006,230.0,1,箱
192,76019,1.0,1,箱
193,79042,8.0,1,箱
194,74028,1.0,1,箱
195,77025,2.0,1,箱
196,79315,200.0,100,箱
197,74075,600.0,1,箱
198,71441,80.0,1,箱
199,71448,150.0,1,箱
200,72111,20.0,1,箱
201,79314,3.0,1,箱
202,79085,20.0,1,箱
203,80322,2.0,1,箱
204,84095,10.0,1,箱
205,08330,140.0,20,箱
206,08790,600.0,20,箱
207,10010,216.0,18,箱
208,10490,480.0,12,箱
209,12070,2164.5,7,箱
210,40057,120.0,12,箱
211,40135,13620.0,12,箱
212,42180,40.0,1,箱
213,43330,51.0,3,箱
214,43360,135.0,3,箱
215,43430,312.0,12,箱
216,40068,72.0,18,箱
217,05200,10725.0,18,箱
218,06710,240.0,38,箱
219,06850,440.0,40,斤
220,07340,48.0,8,箱
221,07430,300.0,20,箱
222,07700,110.0,5,箱
223,08020,53220.0,30,箱
224,08050,315.0,20,箱
225,43042,140.0,1,箱
226,71417,370.0,1,箱
227,71434,790.0,1,箱
228,73033,36000.0,1,箱
229,73007,90.0,1,箱
230,79077,36000.0,1,箱
231,74024,6.0,1,箱
232,79101,1.0,1,箱
233,73016,4.0,1,箱
234,79367,150.0,50,箱
235,73145,400.0,1,箱
236,72031,60.0,1,箱
237,74011,7.0,1,箱
238,76027,2.0,1,箱
239,77047,200.0,1,箱
240,78005,100.0,1,箱
241,73046,2300.0,1,箱
242,73146,200.0,1,箱
243,73093,10.0,1,箱
244,80166,10.0,10,箱
245,77045,20.0,1,箱
246,71433,10.0,1,箱
247,67206,208.0,10,箱
248,06120,80.0,16,箱
249,08950,128.0,1,箱
250,11620,2350.0,30,箱
251,11650,903.0,10,箱
252,40055,1112.0,8,箱
253,40065,84.0,12,箱
254,43420,384.0,12,箱
255,44203,12.0,12,箱
256,40044,30.0,10,箱
257,01300,96.0,4,箱
258,04170,648.0,27,箱
259,07300,520.0,10,箱
260,07560,166.0,16,箱
261,77121,31.0,1,箱
262,73148,195.0,1,箱
263,77030,255.0,1,箱
264,73011,6600.0,1,箱
265,79383,600.0,300,箱
266,73091,160.0,1,箱
267,76044,10.0,1,箱
268,80320,2.0,1,箱
269,79154,24.0,1,箱
270,71449,50.0,1,箱
271,80165,10.0,10,箱
272,79452,5.0,1,箱
