Account_date,forecast,wh_name,wh_code,sku_code,sku_name,forecast_old,sales_qty,MAE,MAPE,RMSPE,MAPE_old
2020-03-21,182.0,杭州配送中心,001,10130,冰糖枇杷,27.0,491.48290000000014,309.48290000000014,0.08995601445572747,116.97354120386741,0.1350091732591307
2020-03-22,316.0,杭州配送中心,001,10130,冰糖枇杷,19.0,482.6470000000003,166.64700000000028,0.0493253128802506,62.98664553356879,0.13723339358638034
2020-03-23,259.0,杭州配送中心,001,10130,冰糖枇杷,64.0,451.6562999999999,192.65629999999987,0.06093644342263921,72.81723690140754,0.12261419010112651
2020-03-24,283.0,杭州配送中心,001,10130,冰糖枇杷,0.0,485.12400000000014,202.12400000000014,0.05952057029307384,76.3956911425171,0.14285714285714285
2020-03-25,202.0,杭州配送中心,001,10130,冰糖枇杷,0.0,480.93270000000007,278.93270000000007,0.08285468750914333,105.4266509605409,0.14285714285714285
2020-03-19,322.0,杭州配送中心,001,10500,进口柠檬（个）,141.0,397.50999999999993,75.50999999999993,0.02713678362089721,28.540097356926726,0.09218456319158187
2020-03-20,321.0,杭州配送中心,001,10500,进口柠檬（个）,64.0,308.4800000000001,12.519999999999925,0.005798014226437427,4.732115202075496,0.1132187314759929
2020-03-21,376.0,杭州配送中心,001,10500,进口柠檬（个）,62.0,314.29999999999995,61.700000000000045,0.028044179810008663,23.320407984669338,0.11467660560883595
2020-03-22,348.0,杭州配送中心,001,10500,进口柠檬（个）,56.0,360.78999999999996,12.789999999999964,0.005064283536524993,4.834165609788003,0.1206835792883078
2020-03-23,317.0,杭州配送中心,001,10500,进口柠檬（个）,220.0,244.17000000000002,72.82999999999998,0.042610827350967405,27.527152569262014,0.014141201387791886
2020-03-24,315.0,杭州配送中心,001,10500,进口柠檬（个）,0.0,285.82,29.180000000000007,0.01458460369663225,11.029003322409253,0.14285714285714285
2020-03-25,321.0,杭州配送中心,001,10500,进口柠檬（个）,0.0,325.89,4.889999999999986,0.0021435804368695774,1.848246273015116,0.14285714285714285
2020-03-19,144.0,杭州配送中心,001,10510,红西柚（只）,69.0,161.34999999999985,17.349999999999852,0.015361459117269351,6.557683606710037,0.08176546106512014
2020-03-20,137.0,杭州配送中心,001,10510,红西柚（只）,24.0,184.27999999999983,47.27999999999983,0.03665229929610211,17.8701602838762,0.12425191478805543
2020-03-21,149.0,杭州配送中心,001,10510,红西柚（只）,19.0,189.19999999999982,40.19999999999982,0.03035336756266978,15.194171814970867,0.12851102385986105
2020-03-22,152.0,杭州配送中心,001,10510,红西柚（只）,8.0,200.05259999999976,48.05259999999976,0.034314261063625846,18.1621756357231,0.1371443596048525
2020-03-23,111.0,杭州配送中心,001,10510,红西柚（只）,15.0,206.39749999999984,95.39749999999984,0.06602896975842379,36.05686581389769,0.1324749573032619
2020-03-24,131.0,杭州配送中心,001,10510,红西柚（只）,0.0,253.06489999999977,122.06489999999977,0.06890660402585598,46.136195601423935,0.14285714285714285
2020-03-25,132.0,杭州配送中心,001,10510,红西柚（只）,0.0,204.77719999999985,72.77719999999985,0.050770998222179245,27.507196045087074,0.14285714285714285
2020-03-19,3426.0,杭州配送中心,001,10890,脆心甜富士,869.0,3001.7500000000023,424.2499999999977,0.020190603100572163,160.3514276741638,0.10150031529227001
2020-03-20,3490.0,杭州配送中心,001,10890,脆心甜富士,247.0,3224.6420000000003,265.3579999999997,0.011755812184510923,100.29589662878242,0.1319146213971748
2020-03-21,3849.0,杭州配送中心,001,10890,脆心甜富士,186.0,3000.993999999999,848.0060000000012,0.0403678628766717,320.5161408986632,0.13400293369463584
2020-03-22,3977.0,杭州配送中心,001,10890,脆心甜富士,83.0,3759.997999999999,217.00200000000086,0.0082447612244171,82.01904657194865,0.1397036457390213
2020-03-23,3501.0,杭州配送中心,001,10890,脆心甜富士,1610.0,3264.574000000002,236.4259999999981,0.01034595719292703,89.36062849567884,0.0724038463473992
2020-03-24,3241.0,杭州配送中心,001,10890,脆心甜富士,0.0,3131.261999999998,109.7380000000021,0.005006561936643262,41.477065339087375,0.14285714285714285
2020-03-25,3507.0,杭州配送中心,001,10890,脆心甜富士,0.0,2811.183,695.817,0.03535964345666169,262.99410571586145,0.14285714285714285
2020-03-19,384.0,杭州配送中心,001,11030,北半球(车厘子),276.0,367.578,16.422000000000025,0.006382318854773692,6.206932575757539,0.035591279751702835
2020-03-20,485.0,杭州配送中心,001,11030,北半球(车厘子),384.0,697.09,212.09000000000003,0.043464361027372986,80.162485080527,0.06416265167645908
2020-03-21,607.0,杭州配送中心,001,11030,北半球(车厘子),506.0,634.7599999999999,27.759999999999877,0.006247580637901362,10.492293770736103,0.028978331517874
2020-03-22,466.0,杭州配送中心,001,11030,北半球(车厘子),543.0,637.1899999999995,171.1899999999995,0.03838056825391835,64.70373813444941,0.02111727159201215
2020-03-23,368.0,杭州配送中心,001,11030,北半球(车厘子),473.0,473.70050000000003,105.70050000000003,0.03187683236258233,39.951033779311835,0.0002112546399495744
2020-03-24,400.0,杭州配送中心,001,11030,北半球(车厘子),0.0,435.98000000000025,35.980000000000246,0.011789531629891353,13.599161738872088,0.14285714285714285
2020-03-25,386.0,杭州配送中心,001,11030,北半球(车厘子),0.0,495.66999999999996,109.66999999999996,0.031608011090327945,41.451363754921935,0.14285714285714285
2020-03-19,103.0,杭州配送中心,001,11090,大樱桃,59.0,109.9954,6.995400000000004,0.00908531499628946,2.6440126744887498,0.06623056184946956
2020-03-20,94.0,杭州配送中心,001,11090,大樱桃,4.0,128.98999999999998,34.98999999999998,0.03875161972688911,13.224976910592853,0.13842712059628098
2020-03-21,104.0,杭州配送中心,001,11090,大樱桃,12.0,132.55039999999985,28.550399999999854,0.030770398063140924,10.791036890202585,0.1299240569193734
2020-03-22,103.0,杭州配送中心,001,11090,大樱桃,5.0,132.12419999999997,29.124199999999973,0.031490067678744675,11.007912904815326,0.13745097415916235
2020-03-23,95.0,杭州配送中心,001,11090,大樱桃,5.0,122.07999999999996,27.079999999999956,0.031688822317917954,10.235277929089857,0.1370061786182363
2020-03-24,117.0,杭州配送中心,001,11090,大樱桃,0.0,118.61999999999996,1.619999999999962,0.0019510080208107068,0.6123024462749337,0.14285714285714285
2020-03-25,91.0,杭州配送中心,001,11090,大樱桃,0.0,125.09999999999997,34.099999999999966,0.03894027635034826,12.888588529614635,0.14285714285714285
