,Sku_id,Code,Dc_name,Dc_code,Munit,Wrh,Warehouse_name,Sku_name,rate,Forecast_box,SS,Stock,Suggestion_qty,Update_time,Account_date
0,3005943,07600,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,菲律宾凤梨(叫货),27,75,66.0,195,0,2019-12-02 21:51:47,2019-12-02
1,3005887,05200,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,沙洲绿宝瓜,18,1192,434.0,7007,0,2019-12-02 21:51:47,2019-12-02
2,3010784,12240,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,珍珠牛奶枣,14,49,34.0,190,0,2019-12-02 21:51:47,2019-12-02
3,3005446,16040,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,进口蕉(叫货),27,672,672.0,0,1434,2019-12-02 21:51:47,2019-12-02
4,3005323,07340,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,火参果,8,2,1.0,11,0,2019-12-02 21:51:47,2019-12-02
5,3006437,05020,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,鲜丰玉麒麟(叫货),26,186,42.0,137,91,2019-12-02 21:51:47,2019-12-02
6,3003923,16010,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,春蕉(叫货),18,1248,406.0,0,1654,2019-12-02 21:51:47,2019-12-02
7,3027971,11710,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,甄选蓝莓,12,77,8.0,141,0,2019-12-02 21:51:47,2019-12-02
8,3004365,07950,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金尧榴莲,14,249,38.0,150,137,2019-12-02 21:51:47,2019-12-02
9,3004746,65550,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,樱桃小番茄,7,334,248.0,75,507,2019-12-02 21:51:47,2019-12-02
10,3010696,12130,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,原种红玉木瓜(叫货),5,44,37.0,82,0,2019-12-02 21:51:47,2019-12-02
11,3014458,01310,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,克伦森无籽红提,14,234,32.626519825417596,620,0,2019-12-02 21:51:47,2019-12-02
12,3007703,12190,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,龙珠果,5,13,5.0,7,11,2019-12-02 21:51:47,2019-12-02
13,3005378,07220,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,台湾释迦(叫货),12,23,1.0,26,0,2019-12-02 21:51:47,2019-12-02
14,3027925,11600,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,满山红富士（大）,26,616,3.614031611621005,44,576,2019-12-02 21:51:47,2019-12-02
15,3000174,07310,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金火龙果(叫货),13,610,132.0,315,427,2019-12-02 21:51:47,2019-12-02
16,3004590,01020,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,辽宁黑珍珠(叫货),16,15,12.0,55,0,2019-12-02 21:51:47,2019-12-02
17,3009681,13160,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,南水梨(叫货),20,265,43.0,1075,0,2019-12-02 21:51:47,2019-12-02
18,3027965,11650,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选香梨,10,70,2.3211538298959886,171,0,2019-12-02 21:51:47,2019-12-02
19,3005221,11120,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖冬枣(叫货),1,316,175.0,349,142,2019-12-02 21:51:47,2019-12-02
20,3014526,06390,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金边香芒,10,222,138.0,129,231,2019-12-02 21:51:47,2019-12-02
21,3010692,65770,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖橙,25,70,32.0,95,7,2019-12-02 21:51:47,2019-12-02
22,3000187,07350,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国椰青(叫货),9,171,118.0,170,119,2019-12-02 21:51:47,2019-12-02
23,3013455,07540,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选泰国桂圆,21,205,1.0,456,0,2019-12-02 21:51:47,2019-12-02
24,3000168,07300,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,蜜宝红心火龙果,10,37,24.0,120,0,2019-12-02 21:51:47,2019-12-02
25,3000101,06850,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,百香果（盒）,40,30,2.0,29,3,2019-12-02 21:51:47,2019-12-02
26,3014452,08890,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金香露蜜桔,25,129,26.520688881993813,684,0,2019-12-02 21:51:47,2019-12-02
27,3010321,07640,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,智利车厘子J,10,145,145.0,10,387,2019-12-02 21:51:47,2019-12-02
28,3011926,01270,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,冰糖木瓜,8,6,2.0,21,0,2019-12-02 21:51:47,2019-12-02
