,Sku_id,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,rate,Forecast_box,SS,Stock,Suggestion_qty,Update_time,Account_date
41,3003804,04170,杭州配送中心,001,001,杭州配送中心,树顶红,1,2046,2046.0,969.0,4020.0,2020-01-02 10:29:20,2020-01-02
42,3008522,04810,杭州配送中心,001,001,杭州配送中心,圣诞红蛇果（带字）,1,3,3.7032803990902057,4.0,11.0,2020-01-02 10:29:20,2020-01-02
43,3004304,10010,杭州配送中心,001,001,杭州配送中心,甜脆柿,1,4,4.0,30.0,3.0,2020-01-02 10:29:20,2020-01-02
44,3019420,30200,杭州配送中心,001,001,杭州配送中心,佳沛阳光金果（小）,1,45,45.0,4026.0,0.0,2020-01-02 10:29:20,2020-01-02
45,3019280,03180,杭州配送中心,001,001,杭州配送中心,好吃怡颗莓,1,44,44.0,26.0,135.0,2020-01-02 10:29:20,2020-01-02
46,3006350,13000,杭州配送中心,001,001,杭州配送中心,皇冠蜜梨,1,65,65.0,337.0,0.0,2020-01-02 10:29:20,2020-01-02
47,3005357,65180,杭州配送中心,001,001,杭州配送中心,甜心脆皮金桔,1,1036,1036.0,342.0,3000.0,2020-01-02 10:29:20,2020-01-02
48,3007925,10040,杭州配送中心,001,001,杭州配送中心,大红柿,1,59,119.77529982838527,10.0,211.0,2020-01-02 10:29:20,2020-01-02
49,3003923,16010,杭州配送中心,001,001,杭州配送中心,春蕉,1,6482,0.0,1001.0,9627.0,2020-01-02 10:29:20,2020-01-02
50,3014458,01310,杭州配送中心,001,001,杭州配送中心,克伦森无籽红提,1,1,147.84492703160157,259.0,151.0,2020-01-02 10:29:20,2020-01-02
51,3005885,07470,杭州配送中心,001,001,杭州配送中心,台湾凤梨,1,1192,1192.0,142.0,3152.0,2020-01-02 10:29:20,2020-01-02
52,3005887,05200,杭州配送中心,001,001,杭州配送中心,沙洲绿宝瓜,1,10969,10969.0,6068.0,26721.0,2020-01-02 10:29:20,2020-01-02
53,3006437,05020,杭州配送中心,001,001,杭州配送中心,鲜丰玉麒麟,1,12,4021.3824813395318,300.0,3941.0,2020-01-02 10:29:20,2020-01-02
54,3020863,43430,杭州配送中心,001,001,杭州配送中心,烤盐腰果,1,4,16.62061665399884,1766.0,0.0,2020-01-02 10:29:20,2020-01-02
55,3025848,10510,杭州配送中心,001,001,杭州配送中心,红西柚（只）,1,4,4.0,33.0,0.0,2020-01-02 10:29:20,2020-01-02
56,3005637,07190,杭州配送中心,001,001,杭州配送中心,黑了好吃牛油果,1,597,597.0,153.0,1463.0,2020-01-02 10:29:20,2020-01-02
57,3000077,06790,杭州配送中心,001,001,杭州配送中心,网纹瓜,1,1222,1222.0,448.0,3364.0,2020-01-02 10:29:20,2020-01-02
58,3021322,08790,杭州配送中心,001,001,杭州配送中心,不吃橘红美人,1,192,330.08001503655237,886.0,0.0,2020-01-02 10:29:20,2020-01-02
59,3011926,01270,杭州配送中心,001,001,杭州配送中心,冰糖木瓜,1,19,19.0,13.0,52.0,2020-01-02 10:29:20,2020-01-02
60,3015683,08270,杭州配送中心,001,001,杭州配送中心,春见,1,4654,4654.0,1560.0,9545.0,2020-01-02 10:29:20,2020-01-02
61,3010361,07660,杭州配送中心,001,001,杭州配送中心,二盒一车厘子（J）,1,42,42.0,621.0,0.0,2020-01-02 10:29:20,2020-01-02
62,3003475,08020,杭州配送中心,001,001,杭州配送中心,沙糖桔,1,19286,19286.0,1726.0,62960.0,2020-01-02 10:29:20,2020-01-02
63,3024247,67207,杭州配送中心,001,001,杭州配送中心,芒果吃光光,1,7,7.0,301.0,0.0,2020-01-02 10:29:20,2020-01-02
64,3003628,12030,杭州配送中心,001,001,杭州配送中心,山楂,1,111,111.0,36.0,424.0,2020-01-02 10:29:20,2020-01-02
65,3004290,65260,杭州配送中心,001,001,杭州配送中心,二盒一车厘子（JJ）,1,112,112.0,320.0,0.0,2020-01-02 10:29:20,2020-01-02
66,3025802,40035,杭州配送中心,001,001,杭州配送中心,香辣金针菇160g,1,2,2.0,213.0,0.0,2020-01-02 10:29:20,2020-01-02
67,3006332,65600,杭州配送中心,001,001,杭州配送中心,红肉菠萝蜜（大果）,1,10503,10503.0,625.0,30300.0,2020-01-02 10:29:20,2020-01-02
68,3003843,06290,杭州配送中心,001,001,杭州配送中心,蜜汁澳芒,1,83,83.0,14.0,233.0,2020-01-02 10:29:20,2020-01-02
69,3005999,05180,杭州配送中心,001,001,杭州配送中心,冰糖蜜瓜,1,5847,5847.0,1068.0,16040.0,2020-01-02 10:29:20,2020-01-02
70,3019720,40370,杭州配送中心,001,001,杭州配送中心,菲诺纯椰汁（瓶装）,1,344,344.0,524.0,603.0,2020-01-02 10:29:20,2020-01-02
71,3010784,12240,杭州配送中心,001,001,杭州配送中心,珍珠牛奶枣,1,1753,1753.0,220.0,4591.0,2020-01-02 10:29:20,2020-01-02
72,3005932,12070,杭州配送中心,001,001,杭州配送中心,千禧小番茄,1,1840,1840.0,1633.0,4223.0,2020-01-02 10:29:20,2020-01-02
73,3003800,04300,杭州配送中心,001,001,杭州配送中心,国产蛇果,1,479,479.0,146.0,1262.0,2020-01-02 10:29:20,2020-01-02
74,3012624,06120,杭州配送中心,001,001,杭州配送中心,火箭筒苹果,1,27,35.41935363956968,20.0,63.0,2020-01-02 10:29:20,2020-01-02
75,3027971,11710,杭州配送中心,001,001,杭州配送中心,甄选蓝莓,1,5,5.0,217.0,0.0,2020-01-02 10:29:20,2020-01-02
76,3004193,13020,杭州配送中心,001,001,杭州配送中心,冰糖蜜梨,1,5732,5732.0,1372.0,16060.0,2020-01-02 10:29:20,2020-01-02
77,3014526,06390,杭州配送中心,001,001,杭州配送中心,金边香芒,1,1674,1674.0,190.0,5160.0,2020-01-02 10:29:20,2020-01-02
78,3027482,40057,杭州配送中心,001,001,杭州配送中心,夏威夷果仁,1,3,3.0,3589.0,0.0,2020-01-02 10:29:20,2020-01-02
79,3025803,40036,杭州配送中心,001,001,杭州配送中心,香辣海带结192g,1,3,3.0,300.0,0.0,2020-01-02 10:29:20,2020-01-02
80,3003971,10130,杭州配送中心,001,001,杭州配送中心,冰糖枇杷,1,150,150.0,16.0,297.0,2020-01-02 10:29:20,2020-01-02
81,3023702,44203,杭州配送中心,001,001,杭州配送中心,日式梅饼168g,1,3,3.0,128.0,0.0,2020-01-02 10:29:20,2020-01-02
82,3020862,43420,杭州配送中心,001,001,杭州配送中心,蜂蜜腰果,1,56,78.8322942216253,459.0,0.0,2020-01-02 10:29:20,2020-01-02
83,3025804,40037,杭州配送中心,001,001,杭州配送中心,香辣海带片218g,1,3,3.0,352.0,0.0,2020-01-02 10:29:20,2020-01-02
84,3015484,08029,杭州配送中心,001,001,杭州配送中心,优选沙糖桔,1,1239,1520.1668007297149,332.0,4011.0,2020-01-02 10:29:20,2020-01-02
85,3004365,07950,杭州配送中心,001,001,杭州配送中心,金尧榴莲,1,942,942.0,90.0,3168.0,2020-01-02 10:29:20,2020-01-02
86,3005323,07340,杭州配送中心,001,001,杭州配送中心,火参果,1,2,2.0,15.0,0.0,2020-01-02 10:29:20,2020-01-02
87,3003886,07970,杭州配送中心,001,001,杭州配送中心,红树莓,1,13,13.093073414159543,4.0,26.0,2020-01-02 10:29:20,2020-01-02
88,3006683,12050,杭州配送中心,001,001,杭州配送中心,小黄瓜,1,1644,1644.0,294.0,3688.0,2020-01-02 10:29:20,2020-01-02
89,3004799,01070,杭州配送中心,001,001,杭州配送中心,夏黑,1,26,30.74317578167319,78.0,19.0,2020-01-02 10:29:20,2020-01-02
90,3022264,66150,杭州配送中心,001,001,杭州配送中心,粉红女士苹果,1,4,4.0,588.0,0.0,2020-01-02 10:29:20,2020-01-02
