,Account_date,sales_qty
131,2019-07-14,7.8
155,2019-07-15,30.526515128918568
236,2019-07-16,8.66
102,2019-07-17,10.43
71,2019-07-18,26.1
242,2019-07-19,15.490000000000002
80,2019-07-20,20.89
211,2019-07-21,6.970000000000001
57,2019-07-22,14.5
136,2019-07-23,11.15
53,2019-07-24,5.04
174,2019-07-25,9.8
105,2019-07-26,13.440000000000001
45,2019-07-27,23.16
162,2019-07-28,13.27
103,2019-07-29,1.13
78,2019-07-30,8.530000000000001
47,2019-07-31,5.84
17,2019-08-01,2.29
126,2019-08-02,8.21
67,2019-08-03,7.609999999999999
99,2019-08-04,4.82
183,2019-08-05,19.18
234,2019-08-06,8.51
88,2019-08-07,1.23
151,2019-08-09,9.83
93,2019-08-10,3.52
104,2019-08-11,8.16
128,2019-08-12,4.18
41,2019-08-13,5.1
221,2019-08-14,2.21
40,2019-08-15,3.66
201,2019-08-16,4.58
70,2019-08-19,1.07
125,2019-08-20,1.42
153,2019-08-26,5.54
172,2019-08-30,2.32
56,2019-09-26,0.68
114,2019-10-06,2.51
81,2019-10-11,1.27
216,2019-12-31,32.99
3,2020-01-01,82.74999999999999
246,2020-01-02,86.73999999999998
253,2020-01-03,72.93
187,2020-01-04,97.336
267,2020-01-05,88.8294496745556
247,2020-01-06,77.724
272,2020-01-07,77.22600000000001
4,2020-01-08,74.644
251,2020-01-09,74.622
113,2020-01-10,65.72
249,2020-01-11,84.27600000000001
20,2020-01-12,80.44302753106132
269,2020-01-13,63.64000000000002
55,2020-01-14,68.912
258,2020-01-15,56.025999999999996
217,2020-01-16,68.213
250,2020-01-17,51.15
111,2020-01-18,58.33000000000001
256,2020-01-19,67.60000000000001
59,2020-01-20,48.61000000000001
254,2020-01-21,26.01
252,2020-01-22,50.34
2,2020-01-23,45.16
285,2020-01-24,33.690000000000005
295,2020-01-25,11.930000000000001
299,2020-01-26,19.1
255,2020-01-27,30.47
300,2020-01-28,24.922
192,2020-01-29,11.57
277,2020-01-30,24.050000000000004
262,2020-01-31,21.620000000000005
259,2020-02-01,11.445999999999998
248,2020-02-02,18.64
298,2020-02-03,21.87
245,2020-02-04,13.68
284,2020-02-05,28.170000000000005
308,2020-02-06,18.619999999999997
309,2020-02-07,10.44
257,2020-02-08,17.700000000000003
310,2020-02-09,23.049999999999997
306,2020-02-10,19.918
304,2020-02-11,21.14
281,2020-02-12,16.784000000000002
290,2020-02-13,26.626999999999995
266,2020-02-14,26.872999999999998
305,2020-02-15,5.616
292,2020-02-16,13.82
301,2020-02-17,17.229999999999997
293,2020-02-18,15.91
288,2020-02-19,23.589999999999996
276,2020-02-20,21.930000000000003
287,2020-02-21,4.91
264,2020-02-22,14.683
312,2020-02-23,9.64
279,2020-02-24,21.17
286,2020-02-25,21.89
280,2020-02-26,5.859999999999999
302,2020-02-27,14.48
260,2020-02-28,7.6
296,2020-02-29,8.3
294,2020-03-01,18.57
275,2020-03-02,17.16
307,2020-03-03,17.26
303,2020-03-04,13.93
311,2020-03-05,13.03
297,2020-03-06,11.11
271,2020-03-07,24.609999999999992
291,2020-03-08,17.59
273,2020-03-09,9.15
289,2020-03-10,15.189999999999998
283,2020-03-11,15.78
282,2020-03-12,6.67
274,2020-03-13,18.220000000000002
268,2020-03-14,15.200000000000001
261,2020-03-15,21.79
278,2020-03-16,11.399999999999999
270,2020-03-17,15.7
265,2020-03-18,17.85
263,2020-03-19,13.3
