,Account_date,sales_qty,median_1_week,up_1_week,low_1_week,slope_var_1_week,var_1_week,slope_sum_1_week,sum_1_week,mean_1_week,slope_1_week,skew_1_week,kurt_1_week,cv_1_week,median_2_week,up_2_week,low_2_week,slope_var_2_week,var_2_week,slope_sum_2_week,sum_2_week,mean_2_week,slope_2_week,skew_2_week,kurt_2_week,cv_2_week,median_3_week,up_3_week,low_3_week,slope_var_3_week,var_3_week,slope_sum_3_week,sum_3_week,mean_3_week,slope_3_week,skew_3_week,kurt_3_week,cv_3_week,median_4_week,up_4_week,low_4_week,slope_var_4_week,var_4_week,slope_sum_4_week,sum_4_week,mean_4_week,slope_4_week,skew_4_week,kurt_4_week,cv_4_week,back_1day,back_3day,back_7day,last_7days_mean,last_7days_var,last_7days_trend,cv_7days,last_14days_mean,last_14days_var,last_14days_trend,cv_14days,last_21days_mean,last_21days_var,last_21days_trend,cv_21days
317,2018-11-15,891.9339999999997,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,427133.4963307235,32167564.038936764,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,0.520072509068815,0.4182332244548351,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.14034994827896066,0.07293729888849287,0.25064304271173143,16.07,18.585,14.76,-6.954880272108849,14.18179523809524,2.358571428571431,120.72000000000001,17.24571428571429,0.33693877551020457,-0.4511574534944842,0.34602237463612223,0.1965655614157399,-1.0,0.0,-9.129999999999999,1072.1121571428569,14898.413430603341,0.8853250740626216,0.1140373188535642,805.8907596904558,20782.780363524675,1.1774246867871736,0.17857545873054415,805.8907596904558,20782.780363524675,1.1774246867871736,0.17857545873054415
318,2018-11-16,908.3199999999991,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,593138.8621819635,49835846.5191007,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,846250.6923999251,80044601.96766247,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.14034994827896066,0.07293729888849287,0.25064304271173143,16.07,18.585,14.76,-6.954880272108849,14.18179523809524,2.358571428571431,120.72000000000001,17.24571428571429,0.33693877551020457,-0.4511574534944842,0.34602237463612223,0.1965655614157399,1.7199999999999998,1.2099999999999997,-0.7800000000000002,1073.305271428571,32895.53809961643,0.8302425983761015,0.1688145714473906,929.3739311190272,1401.7484421975241,0.9586833531838181,0.04105190228127059,929.3739311190272,1401.7484421975241,0.9586833531838181,0.04105190228127059
319,2018-11-17,1065.9048999999998,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,1039237.7900000728,105265625.21258602,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,81454.16422383736,3530891.636106819,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.14034994827896066,0.07293729888849287,0.25064304271173143,16.07,18.585,14.76,-6.954880272108849,14.18179523809524,2.358571428571431,120.72000000000001,17.24571428571429,0.33693877551020457,-0.4511574534944842,0.34602237463612223,0.1965655614157399,-1.7199999999999998,-1.0,-0.99,1062.2538428571424,23695.62797676769,0.8542832984823173,0.1448990283197357,814.7595428571425,8753.559140780315,1.1134653685063491,0.11507071376875433,814.7595428571425,8753.559140780315,1.1134653685063491,0.11507071376875433
320,2018-11-18,761.7289999999999,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,2917171.4824258788,416820700.51114833,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,101086.98249987053,4708981.422360512,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.14034994827896066,0.07293729888849287,0.25064304271173143,16.07,18.585,14.76,-6.954880272108849,14.18179523809524,2.358571428571431,120.72000000000001,17.24571428571429,0.33693877551020457,-0.4511574534944842,0.34602237463612223,0.1965655614157399,6.03,6.03,5.04,1044.7945428571422,445.64717869899624,1.0192297399907209,0.021021555296147444,867.1203999999999,39515.27744024995,1.2278307248625882,0.22855489930220127,867.1203999999999,39515.27744024995,1.2278307248625882,0.22855489930220127
321,2018-11-19,838.6079999999993,1.0,1.25,0.5,-0.5633795918367348,0.7779666666666666,-0.7928571428571428,7.21,1.03,-0.11326530612244896,1110729.4017515571,115029974.65835923,0.23437412043849526,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,155588.88623787864,8368316.472631104,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,-0.009776672784613274,0.0020905221496194545,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.08918366547194406,0.039845604874128325,0.25064304271173143,-5.03,-0.7199999999999998,1.0,914.2315857142854,23257.038649542992,0.8322800610137536,0.16662757562232935,980.4143571428567,47823.28542869882,0.77615432712599,0.22248547993420886,980.4143571428567,47823.28542869882,0.77615432712599,0.22248547993420886
322,2018-11-20,826.5719999999999,1.0,1.25,0.5,-0.5633795918367348,0.7779666666666666,-0.7928571428571428,7.21,1.03,-0.11326530612244896,2229610.8674482726,291276488.32381237,0.23437412043849526,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,306049.8462046556,20624790.894449975,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,0.07397040727992464,0.031051125502971403,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.08717516223061804,0.03865363597732875,0.25064304271173143,-0.5,0.5,-0.010000000000000009,918.9561428571425,6455.8240605918945,0.9115738902460098,0.08785312726165875,1005.3097999999994,27789.490123240055,0.833349729874438,0.16566252741996595,1005.3097999999994,27789.490123240055,0.833349729874438,0.16566252741996595
323,2018-11-21,754.1500000000001,1.0,1.25,0.5,-0.5633795918367348,0.7779666666666666,-0.7928571428571428,7.21,1.03,-0.11326530612244896,1822234.493854193,222572934.1573792,0.23437412043849526,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,219439.81993373256,13235913.419577366,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,0.3168005842892183,0.21596396809348567,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.14034994827896066,0.07293729888849287,0.25064304271173143,-0.5,-6.03,-1.0,891.8744285714282,4264.407177326498,0.9257427176209871,0.07376161392954751,1037.5094285714279,44494.59877232628,0.795921517185483,0.20290619000088309,1037.5094285714279,44494.59877232628,0.795921517185483,0.20290619000088309
324,2018-11-22,899.838,1.0,1.25,0.5,-0.5633795918367348,0.7779666666666666,-0.7928571428571428,7.21,1.03,-0.11326530612244896,1507842.9235337023,172905232.49924824,0.23437412043849526,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,427133.4963307235,32167564.038936764,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,0.520072509068815,0.4182332244548351,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.14034994827896066,0.07293729888849287,0.25064304271173143,0.5,-0.5,0.5,863.8882714285711,12042.488216130725,0.8719623388513985,0.12715554343948193,1072.1121571428569,101099.93337493874,0.7027690395456071,0.29557831874248025,1072.1121571428569,101099.93337493874,0.7027690395456071,0.29557831874248025
325,2018-11-23,976.5759999999996,1.0,1.25,0.5,-0.5633795918367348,0.7779666666666666,-0.7928571428571428,7.21,1.03,-0.11326530612244896,1592485.0557023694,185966115.98282805,0.23437412043849526,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,593138.8621819635,49835846.5191007,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,846250.6923999251,80044601.96766247,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.14034994827896066,0.07293729888849287,0.25064304271173143,-1.0,-1.0,-2.2199999999999998,865.0174142857139,1212.473189485941,1.03905300881528,0.041077832996749684,1073.305271428571,30090.894256873504,0.837599911246297,0.16149812098746813,1073.305271428571,30090.894256873504,0.837599911246297,0.16149812098746813
326,2018-11-24,1102.2717999999993,1.0,1.25,0.5,-0.5633795918367348,0.7779666666666666,-0.7928571428571428,7.21,1.03,-0.11326530612244896,2573478.0771036064,352663595.2093304,0.23437412043849526,1.01,1.8599999999999999,0.5,-1.0198142857142853,4.72162380952381,-3.210000000000001,12.76,1.8228571428571427,-0.4585714285714287,1039237.7900000728,105265625.21258602,0.35962610798144135,4.78,7.42,2.245,-0.2647006802721081,11.860323809523807,-6.731428571428572,35.230000000000004,5.032857142857144,-0.9616326530612246,81454.16422383736,3530891.636106819,0.3693122947767348,10.73,14.355,8.695,-0.06693809523809666,13.713228571428564,-5.481428571428572,82.35000000000001,11.764285714285716,-0.7830612244897962,-0.14034994827896066,0.07293729888849287,0.25064304271173143,0.5,0.0,0.0,874.7682714285712,10364.81359687363,1.1151077652162356,0.11659268302415486,1062.2538428571424,7340.692756653269,0.9184786930802668,0.08106385909779093,1062.2538428571424,7340.692756653269,0.9184786930802668,0.08106385909779093
