,Account_date,sales_qty,median_1_week,up_1_week,low_1_week,slope_var_1_week,var_1_week,slope_sum_1_week,sum_1_week,mean_1_week,slope_1_week,skew_1_week,kurt_1_week,cv_1_week,median_2_week,up_2_week,low_2_week,slope_var_2_week,var_2_week,slope_sum_2_week,sum_2_week,mean_2_week,slope_2_week,skew_2_week,kurt_2_week,cv_2_week,median_3_week,up_3_week,low_3_week,slope_var_3_week,var_3_week,slope_sum_3_week,sum_3_week,mean_3_week,slope_3_week,skew_3_week,kurt_3_week,cv_3_week,median_4_week,up_4_week,low_4_week,slope_var_4_week,var_4_week,slope_sum_4_week,sum_4_week,mean_4_week,slope_4_week,skew_4_week,kurt_4_week,cv_4_week
171,2018-06-22,0.0,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7678279788089383e-05,8.372441598377467e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.0002828702227206673,1.856876314279856e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003992961251076066,2.940312301657969e-05,0.11990951173803024,838.6079999999993,938.2069999999998,794.1505,-9856.258094954257,15586.552430062811,-164.83099999999962,6159.744799999998,879.9635428571426,-23.547285714285668,-0.00017909249696859984,1.009492713996143e-05,0.14188420258232073
172,2018-06-23,0.0,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7678279788089383e-05,8.372441598377467e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.0002811564142807539,1.8418912915850305e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003992961251076066,2.940312301657969e-05,0.11990951173803024,838.6079999999993,938.2069999999998,794.1505,-9856.258094954257,15586.552430062811,-164.83099999999962,6159.744799999998,879.9635428571426,-23.547285714285668,-0.00017734389546748564,9.963723300449404e-06,0.14188420258232073
173,2018-06-24,0.0,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7678279788089383e-05,8.372441598377467e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.00027895208824532084,1.82266206984289e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003992961251076066,2.940312301657969e-05,0.11990951173803024,838.6079999999993,938.2069999999998,794.1505,-9856.258094954257,15586.552430062811,-164.83099999999962,6159.744799999998,879.9635428571426,-23.547285714285668,-0.00017909249696859984,1.009492713996143e-05,0.14188420258232073
174,2018-06-25,0.0,864.7839999999998,958.2328499999995,807.1619999999999,-1934.2781517947635,13281.537670222344,72.47958117677055,6195.127199999998,885.0181714285711,10.354225882395781,-0.00029440962297104436,1.958556035349546e-05,0.13031747280651884,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.761999959816738e-05,8.348944176302478e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.0002828702227206673,1.856876314279856e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003992961251076066,2.940312301657969e-05,0.11990951173803024
175,2018-06-26,0.0,864.7839999999998,958.2328499999995,807.1619999999999,-1934.2781517947635,13281.537670222344,72.47958117677055,6195.127199999998,885.0181714285711,10.354225882395781,-0.00029440962297104436,1.958556035349546e-05,0.13031747280651884,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7524067211099695e-05,8.310302122190674e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.0002828702227206673,1.856876314279856e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003902478490079731,2.851810676829863e-05,0.11990951173803024
176,2018-06-27,0.0,864.7839999999998,958.2328499999995,807.1619999999999,-1934.2781517947635,13281.537670222344,72.47958117677055,6195.127199999998,885.0181714285711,10.354225882395781,-0.00029440962297104436,1.958556035349546e-05,0.13031747280651884,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7678279788089383e-05,8.372441598377467e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.0002828702227206673,1.856876314279856e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003969421371423688,2.917222837723779e-05,0.11990951173803024
177,2018-06-28,0.0,864.7839999999998,958.2328499999995,807.1619999999999,-1934.2781517947635,13281.537670222344,72.47958117677055,6195.127199999998,885.0181714285711,10.354225882395781,-0.00029440962297104436,1.958556035349546e-05,0.13031747280651884,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7678279788089383e-05,8.372441598377467e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.0002828702227206673,1.856876314279856e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003992961251076066,2.940312301657969e-05,0.11990951173803024
178,2018-06-29,0.0,864.7839999999998,958.2328499999995,807.1619999999999,-1934.2781517947635,13281.537670222344,72.47958117677055,6195.127199999998,885.0181714285711,10.354225882395781,-0.00029440962297104436,1.958556035349546e-05,0.13031747280651884,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7678279788089383e-05,8.372441598377467e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.0002828702227206673,1.856876314279856e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003992961251076066,2.940312301657969e-05,0.11990951173803024
179,2018-06-30,0.0,864.7839999999998,958.2328499999995,807.1619999999999,-1934.2781517947635,13281.537670222344,72.47958117677055,6195.127199999998,885.0181714285711,10.354225882395781,-0.00029440962297104436,1.958556035349546e-05,0.13031747280651884,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7678279788089383e-05,8.372441598377467e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.0002811564142807539,1.8418912915850305e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003992961251076066,2.940312301657969e-05,0.11990951173803024
180,2018-07-01,0.0,864.7839999999998,958.2328499999995,807.1619999999999,-1934.2781517947635,13281.537670222344,72.47958117677055,6195.127199999998,885.0181714285711,10.354225882395781,-0.00029440962297104436,1.958556035349546e-05,0.13031747280651884,842.5499999999996,866.7026999999995,753.7364500000001,2176.5123127404772,26821.484732785688,50.53311882322929,5687.770131762604,812.5385902518007,7.219016974747043,-2.7678279788089383e-05,8.372441598377467e-07,0.2010554032452395,708.4988999999996,847.0694999999998,675.0110000000002,-176.49512918095596,11585.898543602349,-183.64175714285673,5334.038299999999,762.0054714285714,-26.234536734693815,-0.00027895208824532084,1.82266206984289e-05,0.1412705317500375,903.0384999999991,1030.7329999999995,853.7666499999995,-395.02685459911015,12821.36444786904,65.68368571428553,6619.530599999996,945.6472285714281,9.383383673469357,-0.0003992961251076066,2.940312301657969e-05,0.11990951173803024
