,Account_date,sales_qty,last_7days_mean,last_7days_var,last_7days_trend,cv_7days,last_14days_mean,last_14days_var,last_14days_trend,cv_14days,last_21days_mean,last_21days_var,last_21days_trend,cv_21days
0,2018-01-02,436.0179999999999,,,,,,,,,,,,
1,2018-01-03,375.6319999999999,,,,,,,,,,,,
2,2018-01-04,347.37800000000004,,,,,,,,,,,,
3,2018-01-05,485.9300000000003,,,,,,,,,,,,
4,2018-01-06,531.6080000000002,,,,,,,,,,,,
5,2018-01-07,468.33900000000006,,,,,,,,,,,,
6,2018-01-08,416.80400000000003,,,,,,,,,,,,
7,2018-01-09,386.364,437.3870000000001,423.65988900000343,0.9507672444666468,0.048568027417543895,,,,,,,,
8,2018-01-10,357.94200000000006,430.2935714285715,1929.8072458979684,0.8958260117818322,0.10274464196167683,,,,,,,,
9,2018-01-11,362.0979999999999,427.76642857142866,4875.450825326534,0.8348181577382291,0.16290224800508651,,,,,,,,
10,2018-01-12,381.4740000000002,429.8692857142858,4592.947167367373,0.8403894452576763,0.1574184497814813,,,,,,,,
11,2018-01-13,427.7220000000001,414.94700000000006,1120.4417289999894,0.9171216525182299,0.08169983433938348,,,,,,,,
12,2018-01-14,488.1220000000002,400.1061428571429,762.635565734696,1.066356144419201,0.07029089991623814,,,,,,,,
13,2018-01-15,366.14999999999986,402.93228571428574,7257.28742008166,1.2084253159829481,0.21025354013171552,,,,,,,,
14,2018-01-16,353.084,395.696,872.9661160000096,0.9229989715046278,0.075853745753621,437.38700000000006,5074.710169000027,0.8352209349273583,0.16255426013812327,437.38700000000006,5074.710169000027,0.8352209349273583,0.16255426013812327
15,2018-01-17,308.7240000000001,390.94171428571434,1433.2065309387795,0.9008584366771735,0.09764674798032172,430.2935714285715,5961.317920183686,0.8186627934900158,0.17884912227973704,430.2935714285715,5961.317920183686,0.8186627934900158,0.17884912227973704
16,2018-01-18,286.64000000000004,383.91057142857153,5653.0205231836735,0.8020668251697798,0.19489514225760068,427.76642857142866,14171.09980018367,0.720028387083877,0.27610786087110806,427.76642857142866,14171.09980018367,0.720028387083877,0.27610786087110806
17,2018-01-19,360.46400000000017,373.1308571428572,7480.668369306129,0.7661490479266994,0.23015983969430082,429.8692857142858,20514.628286224506,0.6652597655570052,0.3301428835365924,429.8692857142858,20514.628286224506,0.6652597655570052,0.3301428835365924
18,2018-01-20,352.5700000000001,370.1294285714287,93.42050946938733,0.9712622396653305,0.028280552413608596,414.94700000000006,2968.397288999988,0.8666104094992875,0.13149281781835132,414.94700000000006,2968.397288999988,0.8666104094992875,0.13149281781835132
19,2018-01-21,264.10800000000006,359.3934285714287,46.55917746938766,0.9782919777354431,0.021352535174913437,400.1061428571429,2259.684877734689,0.8789942669254275,0.1192223298732551,400.1061428571429,2259.684877734689,0.8789942669254275,0.1192223298732551
20,2018-01-22,280.878,327.39142857142866,4004.792331755106,0.8042475443068812,0.19224006083546233,402.93228571428574,19272.182304081623,0.653842263519416,0.34109117673093037,402.93228571428574,19272.182304081623,0.653842263519416,0.34109117673093037
21,2018-01-23,273.73,315.20971428571437,1178.666605795925,0.8882649308686638,0.1096544043187492,395.696,13183.17312400001,0.7080434388045252,0.287606531974492,395.696,13183.17312400001,0.7080434388045252,0.287606531974492
22,2018-01-24,232.2820000000001,303.87342857142863,908.626286040819,0.8978480062452145,0.10018041334231582,390.94171428571434,13738.585965795926,0.6983946592642054,0.2970578605912137,390.94171428571434,13738.585965795926,0.6983946592642054,0.2970578605912137
23,2018-01-25,203.2740000000001,292.95314285714295,3680.9875755918365,0.7902007705795676,0.20560258935681375,383.91057142857153,22991.22367346939,0.603470045361186,0.39044370396736694,383.91057142857153,22991.22367346939,0.603470045361186,0.39044370396736694
24,2018-01-26,227.28599999999994,281.0437142857144,6048.1284600816325,0.7207180649808085,0.27346444438492956,373.13085714285717,28851.35191844896,0.5433232681002371,0.44946852888253497,373.13085714285717,28851.35191844896,0.5433232681002371,0.44946852888253497
25,2018-01-27,233.72399999999993,262.01828571428575,1206.331670938782,0.864145241395492,0.13282474691045995,370.1294285714287,20404.245086040875,0.6124170774462198,0.3814166110459998,370.1294285714287,20404.245086040875,0.6124170774462198,0.3814166110459998
