Account_date,forecast,wh_name,wh_code,sku_code,sku_name,sales_qty,MAE,MAPE,RMSPE
2020-03-11,6.0,杭州配送中心,001,01100,金手指,6.9399999999999995,0.9399999999999995,0.019349526554137495,0.3552866046286734
2020-03-12,6.0,杭州配送中心,001,01100,金手指,5.12,0.8799999999999999,0.024553571428571425,0.33260873624811993
2020-03-13,6.0,杭州配送中心,001,01100,金手指,0.0,6.0,inf,2.2677868380553634
2020-03-14,6.0,杭州配送中心,001,01100,金手指,7.369999999999999,1.3699999999999992,0.026555534018220573,0.517811328022641
2020-03-15,5.0,杭州配送中心,001,01100,金手指,4.87,0.1299999999999999,0.003813435024933995,0.0491353814911995
2020-03-16,6.0,杭州配送中心,001,01100,金手指,7.1499999999999995,1.1499999999999995,0.02297702297702297,0.4346591439606111
2020-03-17,8.0,杭州配送中心,001,01100,金手指,3.13,4.87,0.22227293473299864,1.8406869835549367
2020-03-11,54.0,杭州配送中心,001,01270,冰糖木瓜,51.701600000000006,2.298399999999994,0.006350729129134422,0.8687135447644055
2020-03-12,53.0,杭州配送中心,001,01270,冰糖木瓜,46.43,6.57,0.020214762622688533,2.483226587670623
2020-03-13,52.0,杭州配送中心,001,01270,冰糖木瓜,21.75,30.25,0.1986863711001642,11.433425308529124
2020-03-14,54.0,杭州配送中心,001,01270,冰糖木瓜,65.1368,11.136799999999994,0.024425078121298988,4.209314743009159
2020-03-15,52.0,杭州配送中心,001,01270,冰糖木瓜,53.31999999999999,1.3199999999999932,0.0035365984353230985,0.49891310437217734
2020-03-16,55.0,杭州配送中心,001,01270,冰糖木瓜,45.43000000000001,9.569999999999993,0.030093393289519172,3.617120006698302
2020-03-17,53.0,杭州配送中心,001,01270,冰糖木瓜,38.134499999999996,14.865500000000004,0.05568823131659935,5.6186308735186685
2020-03-11,3.0,杭州配送中心,001,01300,晴王葡萄,4.94,1.9400000000000004,0.056101792943898214,0.733251077637901
2020-03-12,3.0,杭州配送中心,001,01300,晴王葡萄,3.8900000000000006,0.8900000000000006,0.03268453911127435,0.33638838097821244
2020-03-13,3.0,杭州配送中心,001,01300,晴王葡萄,4.27,1.2699999999999996,0.04248912679826028,0.4800148807217184
2020-03-14,3.0,杭州配送中心,001,01300,晴王葡萄,3.7199999999999998,0.7199999999999998,0.027649769585253448,0.2721344205666435
2020-03-15,3.0,杭州配送中心,001,01300,晴王葡萄,4.279999999999999,1.2799999999999994,0.04272363150867823,0.48379452545181056
2020-03-16,3.0,杭州配送中心,001,01300,晴王葡萄,19.049999999999997,16.049999999999997,0.12035995500562428,6.066329791798096
2020-03-17,3.0,杭州配送中心,001,01300,晴王葡萄,1.0,2.0,0.2857142857142857,0.7559289460184544
2020-03-11,5.0,杭州配送中心,001,02100,智利油桃,6.25,1.25,0.028571428571428574,0.472455591261534
2020-03-12,4.0,杭州配送中心,001,02100,智利油桃,3.6500000000000004,0.34999999999999964,0.013698630136986287,0.1322875655532294
2020-03-13,3.0,杭州配送中心,001,02100,智利油桃,4.27,1.2699999999999996,0.04248912679826028,0.4800148807217184
2020-03-14,5.0,杭州配送中心,001,02100,智利油桃,5.34,0.33999999999999986,0.009095773140716957,0.1285079208231372
2020-03-15,4.0,杭州配送中心,001,02100,智利油桃,8.52,4.52,0.07578806170355466,1.7083994180017068
2020-03-16,5.0,杭州配送中心,001,02100,智利油桃,,,,
2020-03-17,4.0,杭州配送中心,001,02100,智利油桃,,,,
2020-03-11,377.0,杭州配送中心,001,03080,士多别瑞草莓,439.804,62.803999999999974,0.0203999963620158,23.7376807628715
2020-03-12,387.0,杭州配送中心,001,03080,士多别瑞草莓,365.5491000000002,21.45089999999982,0.008383044263313077,8.107678114073565
2020-03-13,389.0,杭州配送中心,001,03080,士多别瑞草莓,495.9724,106.9724,0.030811737565581122,40.43176679253226
2020-03-14,375.0,杭州配送中心,001,03080,士多别瑞草莓,849.3090000000001,474.3090000000001,0.07978065529910619,179.2719512285336
2020-03-15,405.0,杭州配送中心,001,03080,士多别瑞草莓,733.4377999999999,328.4377999999999,0.06397227646882354,124.13781999330995
2020-03-16,375.0,杭州配送中心,001,03080,士多别瑞草莓,500.7887,125.7887,0.03588302668513544,47.54365970601578
2020-03-17,351.0,杭州配送中心,001,03080,士多别瑞草莓,551.35,200.35000000000002,0.051911541799997414,75.72518216739869
2020-03-11,3557.0,杭州配送中心,001,03090,奶油草莓,3414.0214999999994,142.97850000000062,0.005982826997428134,54.04079340415003
2020-03-12,3558.0,杭州配送中心,001,03090,奶油草莓,2994.869300000003,563.130699999997,0.02686168737218093,212.8433982608161
2020-03-13,3488.0,杭州配送中心,001,03090,奶油草莓,3793.335800000002,305.3358000000021,0.011498955615793434,115.4060847378516
2020-03-14,3589.0,杭州配送中心,001,03090,奶油草莓,4366.382099999998,777.382099999998,0.025434005355208258,293.82281575330563
2020-03-15,3524.0,杭州配送中心,001,03090,奶油草莓,4134.3431,610.3431,0.02108965543487947,230.6880081463181
2020-03-16,3264.0,杭州配送中心,001,03090,奶油草莓,2839.384400000002,424.6155999999978,0.02136356437986032,160.489611485496
2020-03-17,3414.0,杭州配送中心,001,03090,奶油草莓,3338.7982,75.20179999999982,0.0032176590623878556,28.423608706345238
2020-03-11,526.0,杭州配送中心,001,03110,散装草莓,1853.506999999999,1327.506999999999,0.10231623465293473,501.7504836710598
2020-03-12,521.0,杭州配送中心,001,03110,散装草莓,1607.778,1086.778,0.0965643266669901,410.763474048022
