,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate
49,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '泰国桂圆-约250-300g/份']",32.400000000000006,"[5.8074074074074105, 6.6000000000000005, 6.700000000000001]",19.107407407407415,"[9.8, 10.8, 11.8]","[1, 1, 1]"
50,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '云南蜜桔子-450-500g']",33.400000000000006,"[5.8074074074074105, 6.6000000000000005, 7.300000000000001]",19.707407407407413,"[9.8, 10.8, 12.8]","[1, 1, 1]"
53,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '凯特芒芒果-1只700-800g']",46.400000000000006,"[5.8074074074074105, 6.6000000000000005, 16.200000000000003]",28.607407407407415,"[9.8, 10.8, 25.8]","[1, 1, 1]"
54,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '红心猕猴桃-1盒5只']",43.400000000000006,"[5.8074074074074105, 6.6000000000000005, 14.0]",26.407407407407412,"[9.8, 10.8, 22.8]","[1, 1, 1]"
55,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '鲜丰玉麒麟西瓜-半只约4-5斤']",53.4,"[5.8074074074074105, 6.6000000000000005, 17.799999999999997]",30.20740740740741,"[9.8, 10.8, 32.8]","[1, 1, 1]"
56,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '新疆蜜瓜-半只3-3.5斤']",49.400000000000006,"[5.8074074074074105, 6.6000000000000005, 18.3]",30.707407407407413,"[9.8, 10.8, 28.8]","[1, 1, 1]"
57,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '【进口】菲律宾凤梨-1.8-1.9kg/只']",59.4,"[5.8074074074074105, 6.6000000000000005, 19.799999999999997]",32.20740740740741,"[9.8, 10.8, 38.8]","[1, 1, 1]"
58,"['【进口】香蕉-500~550g/份', '新疆无籽黑提-约300g', '泰国金蜜柚子-约2.8-3.2斤/只']",99.4,"[5.8074074074074105, 6.6000000000000005, 32.4]",44.80740740740741,"[9.8, 10.8, 78.8]","[1, 1, 1]"
60,"['【进口】香蕉-500~550g/份', '泰国桂圆-约250-300g/份', '【进口】越南白火龙果-450-500g/只']",34.400000000000006,"[5.8074074074074105, 6.700000000000001, 6.44]",18.94740740740741,"[9.8, 11.8, 12.8]","[1, 1, 1]"
62,"['【进口】香蕉-500~550g/份', '泰国桂圆-约250-300g/份', '凯特芒芒果-1只700-800g']",47.400000000000006,"[5.8074074074074105, 6.700000000000001, 16.200000000000003]",28.707407407407416,"[9.8, 11.8, 25.8]","[1, 1, 1]"
