,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
0,优选泰国桂圆1斤,2.662000000000001,22.01%,6.7,1.9500000000000002,1.0,1.0,11.412
1,赣南蜜桔2斤,2.662000000000001,26.82%,5.98,1.9800000000000004,1.0,1.0,11.412
