,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
111,菲诺纯椰汁-约180ml/袋,8.460712000000003,78.3333%,6.6,4.700000000000003,0.906666666666667,39.0,20.600712000000005
112,【满山红】红富士苹果75#-约1斤,17.440712,-40.8191%,11.8,-4.4901,0.0015,40.0,43.480712000000004
113,百香果-2只/份,17.440712,82.8571%,7.8,5.799999999999999,0.830508474576271,40.0,43.480712000000004
114,【菲律宾】进口香蕉-约450~500g/份,17.440712,7.1429%,35.8,2.5000000000000018,0.871794871794872,40.0,43.480712000000004
115,【杨果铺】嘴强大脑奶香核桃-1包500g,17.440712,280.0000%,6.6,16.800000000000004,0.916201117318436,40.0,43.480712000000004
116,【满山红】红富士苹果75#-约1斤,7.1487120000000015,-40.8191%,11.8,-4.4901,0.0015,41.0,20.688712
117,百香果-2只/份,7.1487120000000015,82.8571%,7.8,5.799999999999999,0.830508474576271,41.0,20.688712
118,【菲律宾】进口香蕉-约450~500g/份,7.1487120000000015,41.6667%,6.9,2.5000000000000018,0.871794871794872,41.0,20.688712
119,【脆甜】冰糖冬枣-约半斤,7.1487120000000015,56.6667%,6.6,3.4000000000000004,1.0,41.0,20.688712
120,【满山红】红富士苹果75#-约1斤,9.314711999999998,-40.8191%,11.8,-4.4901,0.0015,42.0,21.304712000000002
121,百香果-2只/份,9.314711999999998,82.8571%,7.8,5.799999999999999,0.830508474576271,42.0,21.304712000000002
122,【菲律宾】进口香蕉-约450~500g/份,9.314711999999998,35.7143%,7.6,2.5000000000000018,0.871794871794872,42.0,21.304712000000002
123,【真的超甜】黄蒂柑橘子1个,9.314711999999998,94.1667%,6.6,5.6499999999999995,1.0,42.0,21.304712000000002
124,【满山红】红富士苹果75#-约1斤,6.384712,-40.8191%,11.8,-4.4901,0.0015,43.0,20.424712
125,百香果-2只/份,6.384712,82.8571%,7.8,5.799999999999999,0.830508474576271,43.0,20.424712
126,【菲律宾】进口香蕉-约450~500g/份,6.384712,41.6667%,6.6,2.5000000000000018,0.871794871794872,43.0,20.424712
127,【皮薄水润】东江湖蜜桔子-450-500g,6.384712,43.3333%,6.6,2.5999999999999996,1.0,43.0,20.424712
128,【满山红】红富士苹果75#-约1斤,18.328712000000003,-40.8191%,11.8,-4.4901,0.0015,44.0,43.568712000000005
129,百香果-2只/份,18.328712000000003,16.5714%,35.8,5.799999999999999,0.830508474576271,44.0,43.568712000000005
130,【杨果铺】嘴强大脑奶香核桃-1包500g,18.328712000000003,280.0000%,6.9,16.800000000000004,0.916201117318436,44.0,43.568712000000005
131,【脆甜】冰糖冬枣-约半斤,18.328712000000003,56.6667%,6.6,3.4000000000000004,1.0,44.0,43.568712000000005
132,【满山红】红富士苹果75#-约1斤,20.494712,-40.8191%,11.8,-4.4901,0.0015,45.0,44.184712000000005
