,当前组合商品名称,总毛利,总毛利率,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,每款商品的活动价,毛利排名,该组合下客户最终的订单金额
25,花生糖/芝麻粮任选1包(500g),25.640000000000008,32.8971%,30.97%,28.5,11.600000000000001,1.0,28.5,148.0,77.94
26,网纹瓜1只约3斤,25.640000000000008,32.8971%,40.37%,25.3,13.5,1.0,25.3,148.0,77.94
27,红肉菠萝蜜1斤,25.640000000000008,32.8971%,46.84%,30.0,18.8,1.0,3.0,148.0,77.94
28,花生糖/芝麻粮任选1包(500g),24.890000000000004,50.1916%,32.75%,29.8,11.600000000000001,1.0,29.8,149.0,49.59
29,红肉菠萝蜜1斤,24.890000000000004,50.1916%,61.57%,25.3,18.8,1.0,25.3,149.0,49.59
30,酥极红薯片5包,24.82076,17.3063%,-9.66%,133.0,-21.1,0.1,133.0,150.0,143.42076
31,甄选车厘子（JJ）-1斤,24.82076,17.3063%,153.70%,21.4564,53.0,1.0,21.4564,150.0,143.42076
32,凯特芒青1个-约700g,24.82076,17.3063%,11.01%,49.0,8.856399999999999,1.0,4.9,150.0,143.42076
33,优选车厘子XL-1斤,24.49476,28.8259%,5.76%,69.0,22.0,1.0,69.0,151.0,84.97476000000002
34,佳沛阳光金果36#,24.49476,28.8259%,3.99%,23.96,5.080000000000002,1.0,23.96,151.0,84.97476000000002
35,凯特芒青1个-约700g,24.49476,28.8259%,7.62%,21.4564,8.856399999999999,1.0,21.4564,151.0,84.97476000000002
36,沙洲绿宝瓜1只-约3斤,24.470000000000002,20.8664%,-9.08%,69.0,-9.6,0.1,69.0,152.0,117.27000000000001
37,优选车厘子XL-1斤,24.470000000000002,20.8664%,49.50%,29.8,22.0,1.0,29.8,152.0,117.27000000000001
38,花生糖/芝麻粮任选1包(500g),24.470000000000002,20.8664%,27.03%,28.5,11.600000000000001,1.0,28.5,152.0,117.27000000000001
39,网纹瓜1只约3斤,24.470000000000002,20.8664%,29.36%,30.0,13.5,1.0,3.0,152.0,117.27000000000001
40,沙洲绿宝瓜1只-约3斤,24.153999999999996,22.1324%,-9.26%,69.0,-9.6,0.1,69.0,153.0,109.134
41,优选车厘子XL-1斤,24.153999999999996,22.1324%,58.59%,25.3,22.0,1.0,25.3,153.0,109.134
42,红肉菠萝蜜1斤,24.153999999999996,22.1324%,54.42%,23.96,18.8,1.0,23.96,153.0,109.134
43,佳沛阳光金果36#,24.153999999999996,22.1324%,11.27%,30.0,5.080000000000002,1.0,3.0,153.0,109.134
44,阳光玫瑰葡萄1份-约500g,24.074000000000005,14.0003%,-11.91%,133.0,-28.4,0.1,133.0,154.0,171.954
45,甄选车厘子（JJ）-1斤,24.074000000000005,14.0003%,105.53%,28.5,53.0,1.0,28.5,154.0,171.954
46,网纹瓜1只约3斤,24.074000000000005,14.0003%,32.72%,23.96,13.5,1.0,23.96,154.0,171.954
47,佳沛阳光金果36#,24.074000000000005,14.0003%,5.06%,56.0,5.080000000000002,1.0,5.6000000000000005,154.0,171.954
48,沙洲绿宝瓜1只-约3斤,23.730759999999997,33.6937%,-25.78%,28.5,-9.6,0.1,28.5,155.0,70.43076
49,网纹瓜1只约3斤,23.730759999999997,33.6937%,40.61%,25.3,13.5,1.0,25.3,155.0,70.43076
50,红肉菠萝蜜1斤,23.730759999999997,33.6937%,67.32%,21.4564,18.8,1.0,21.4564,155.0,70.43076
51,凯特芒青1个-约700g,23.730759999999997,33.6937%,22.20%,30.0,8.856399999999999,1.0,3.0,155.0,70.43076
52,优选车厘子XL-1斤,23.720000000000006,33.4461%,5.43%,69.0,22.0,1.0,69.0,156.0,70.92
53,花生糖/芝麻粮任选1包(500g),23.720000000000006,33.4461%,6.81%,29.8,11.600000000000001,1.0,29.8,156.0,70.92
54,红肉菠萝蜜1斤,22.98076,54.6111%,62.49%,25.3,18.8,1.0,25.3,157.0,42.08076
55,凯特芒青1个-约700g,22.98076,54.6111%,35.04%,21.4564,8.856399999999999,1.0,21.4564,157.0,42.08076
56,奶油草莓,22.804,15.7612%,-8.47%,133.0,-19.2,0.1,133.0,158.0,144.68400000000003
57,甄选车厘子（JJ）-1斤,22.804,15.7612%,135.16%,23.96,53.0,1.0,23.96,158.0,144.68400000000003
58,佳沛阳光金果36#,22.804,15.7612%,7.84%,38.0,5.080000000000002,1.0,3.8000000000000003,158.0,144.68400000000003
59,沙洲绿宝瓜1只-约3斤,22.560760000000002,20.5545%,-9.03%,69.0,-9.6,0.1,69.0,159.0,109.76076
60,优选车厘子XL-1斤,22.560760000000002,20.5545%,51.00%,28.5,22.0,1.0,28.5,159.0,109.76076
61,网纹瓜1只约3斤,22.560760000000002,20.5545%,41.73%,21.4564,13.5,1.0,21.4564,159.0,109.76076
62,凯特芒青1个-约700g,22.560760000000002,20.5545%,19.16%,30.0,8.856399999999999,1.0,3.0,159.0,109.76076
63,奶油草莓,22.439999999999998,19.6946%,-17.79%,69.0,-19.2,0.1,69.0,160.0,113.94
64,优选车厘子XL-1斤,22.439999999999998,19.6946%,50.23%,28.5,22.0,1.0,28.5,160.0,113.94
65,网纹瓜1只约3斤,22.439999999999998,19.6946%,34.52%,25.3,13.5,1.0,25.3,160.0,113.94
66,红肉菠萝蜜1斤,22.439999999999998,19.6946%,31.63%,38.0,18.8,1.0,3.8000000000000003,160.0,113.94
67,阳光玫瑰葡萄1份-约500g,22.043999999999997,12.7331%,-11.40%,133.0,-28.4,0.1,133.0,161.0,173.12400000000002
68,甄选车厘子（JJ）-1斤,22.043999999999997,12.7331%,97.60%,29.8,53.0,1.0,29.8,161.0,173.12400000000002
69,花生糖/芝麻粮任选1包(500g),22.043999999999997,12.7331%,26.93%,23.96,11.600000000000001,1.0,23.96,161.0,173.12400000000002
70,佳沛阳光金果36#,22.043999999999997,12.7331%,4.84%,56.0,5.080000000000002,1.0,5.6000000000000005,161.0,173.12400000000002
71,花生糖/芝麻粮任选1包(500g),21.954000000000008,39.1798%,29.10%,29.8,11.600000000000001,1.0,29.8,162.0,56.03399999999999
72,网纹瓜1只约3斤,21.954000000000008,39.1798%,35.07%,28.5,13.5,1.0,28.5,162.0,56.03399999999999
73,佳沛阳光金果36#,21.954000000000008,39.1798%,16.07%,23.96,5.080000000000002,1.0,23.96,162.0,56.03399999999999
74,优选车厘子XL-1斤,21.810760000000002,34.3960%,3.94%,69.0,22.0,1.0,69.0,163.0,63.41076
75,凯特芒青1个-约700g,21.810760000000002,34.3960%,5.21%,21.4564,8.856399999999999,1.0,21.4564,163.0,63.41076
76,沙洲绿宝瓜1只-约3斤,21.70076,30.3080%,-24.22%,29.8,-9.6,0.1,29.8,164.0,71.60076
77,花生糖/芝麻粮任选1包(500g),21.70076,30.3080%,33.95%,25.3,11.600000000000001,1.0,25.3,164.0,71.60076
78,红肉菠萝蜜1斤,21.70076,30.3080%,65.51%,21.4564,18.8,1.0,21.4564,164.0,71.60076
79,凯特芒青1个-约700g,21.70076,30.3080%,21.60%,30.0,8.856399999999999,1.0,3.0,164.0,71.60076
80,沙洲绿宝瓜1只-约3斤,21.47,24.5175%,-9.57%,69.0,-9.6,0.1,69.0,165.0,87.57
81,优选车厘子XL-1斤,21.47,24.5175%,60.56%,25.3,22.0,1.0,25.3,165.0,87.57
82,红肉菠萝蜜1斤,21.47,24.5175%,43.12%,30.0,18.8,1.0,3.0,165.0,87.57
83,阳光玫瑰葡萄1份-约500g,21.390000000000004,14.2230%,-11.99%,133.0,-28.4,0.1,133.0,166.0,150.39
84,甄选车厘子（JJ）-1斤,21.390000000000004,14.2230%,106.27%,28.5,53.0,1.0,28.5,166.0,150.39
85,网纹瓜1只约3斤,21.390000000000004,14.2230%,13.53%,56.0,13.5,1.0,5.6000000000000005,166.0,150.39
86,酥极红薯片5包,20.794,14.2743%,-8.92%,133.0,-21.1,0.1,133.0,167.0,145.674
87,甄选车厘子（JJ）-1斤,20.794,14.2743%,129.57%,23.96,53.0,1.0,23.96,167.0,145.674
