,SENDER,DC_NAME,WRH,WAREHOUSE_NAME,NUM,GDGID,SKU_NAME,OCRDATE,CRTOTAL,MUNIT,QTY,QTYSTR,TOTAL,PRICE,QPC,RTOTAL
0,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-01,1000255,箱,1329,1000255,1000255,5326,1000255,9144
1,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-02,1000255,箱,882,1000255,1000255,3532,1000255,6672
2,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-03,1000255,箱,827,1000255,1000255,3308,1000255,6409
3,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-04,1000255,箱,767,1000255,1000255,3069,1000255,5736
4,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-05,1000255,箱,943,1000255,1000255,3776,1000255,7065
5,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-06,1000255,箱,1010,1000255,1000255,4043,1000255,7376
6,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-07,1000255,箱,1005,1000255,1000255,4024,1000255,7221
7,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-08,1000255,箱,862,1000255,1000255,3449,1000255,6191
8,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-09,1000255,箱,917,1000255,1000255,3670,1000255,6956
9,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-10,1000255,箱,852,1000255,1000255,3409,1000255,6330
10,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-11,1000255,箱,1135,1000255,1000255,4544,1000255,7677
11,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-12,1000255,箱,1112,1000255,1000255,4450,1000255,7542
12,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-13,1000255,箱,1151,1000255,1000255,4603,1000255,7817
13,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-14,1000255,箱,1481,1000255,1000255,5930,1000255,9785
14,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006683,小黄瓜(叫货),2018-01-15,1000255,箱,968,1000255,1000255,3872,1000255,6973
