,Sku_id,Code,Price,Gross_profit_rate,Dc_name,Dc_code,Munit,Wrh,Warehouse_name,Sku_name,Account_date,Forecast_qty,Update_time,rate
38,3003800,04300,5,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,国产蛇果,2019-11-24,565,2019-11-21,18
39,3003800,04300,5,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,国产蛇果,2019-11-25,588,2019-11-21,18
40,3003800,04300,5,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,国产蛇果,2019-11-26,532,2019-11-21,18
41,3003800,04300,5,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,国产蛇果,2019-11-27,397,2019-11-21,18
42,3019547,43410,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,那么大西梅,2019-11-21,42,2019-11-21,12
43,3019547,43410,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,那么大西梅,2019-11-22,48,2019-11-21,12
44,3019547,43410,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,那么大西梅,2019-11-23,39,2019-11-21,12
45,3019547,43410,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,那么大西梅,2019-11-24,40,2019-11-21,12
46,3019547,43410,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,那么大西梅,2019-11-25,23,2019-11-21,12
47,3019547,43410,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,那么大西梅,2019-11-26,28,2019-11-21,12
48,3019547,43410,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,那么大西梅,2019-11-27,22,2019-11-21,12
49,3016123,65950,12,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,翡翠红肉柚,2019-11-21,1,2019-11-21,18
50,3016123,65950,12,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,翡翠红肉柚,2019-11-22,1,2019-11-21,18
51,3016123,65950,12,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,翡翠红肉柚,2019-11-23,1,2019-11-21,18
52,3016123,65950,12,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,翡翠红肉柚,2019-11-24,1,2019-11-21,18
53,3016123,65950,12,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,翡翠红肉柚,2019-11-25,1,2019-11-21,18
54,3016123,65950,12,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,翡翠红肉柚,2019-11-26,1,2019-11-21,18
55,3016123,65950,12,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,翡翠红肉柚,2019-11-27,1,2019-11-21,18
56,3013424,11270,63,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,樱桃李,2019-11-21,1,2019-11-21,10
57,3013424,11270,63,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,樱桃李,2019-11-22,1,2019-11-21,10
58,3013424,11270,63,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,樱桃李,2019-11-23,1,2019-11-21,10
59,3013424,11270,63,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,樱桃李,2019-11-24,1,2019-11-21,10
60,3013424,11270,63,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,樱桃李,2019-11-25,1,2019-11-21,10
61,3013424,11270,63,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,樱桃李,2019-11-26,1,2019-11-21,10
62,3013424,11270,63,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,樱桃李,2019-11-27,1,2019-11-21,10
63,3024782,67260,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,佳沛有机金果,2019-11-21,171,2019-11-21,30
64,3024782,67260,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,佳沛有机金果,2019-11-22,209,2019-11-21,30
65,3024782,67260,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,佳沛有机金果,2019-11-23,166,2019-11-21,30
66,3024782,67260,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,佳沛有机金果,2019-11-24,205,2019-11-21,30
