,Account_date,Sku_id,Dc_name,Sales_qty,Price,Gross_profit_rate,Dc_code,Wrh,Warehouse_name,Sku_name,Munit
181,2019-09-10,3019540,杭州配送中心,1,10.0,-0.9999890028042849,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
180,2019-08-08,3019540,杭州配送中心,0,inf,-0.999997000764805,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
179,2019-08-03,3019540,杭州配送中心,1,11.0,-0.9999900025493499,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
178,2019-08-02,3019540,杭州配送中心,4,11.25,-0.9999600101973997,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
177,2019-08-01,3019540,杭州配送中心,3,10.0,-0.9999730068832448,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
176,2019-07-31,3019540,杭州配送中心,2,13.5,-0.9999740066283098,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
175,2019-07-20,3019540,杭州配送中心,2,8.5,-0.9999850038240249,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
174,2019-07-18,3019540,杭州配送中心,15,10.733333333333333,-0.9998230451234935,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
173,2019-07-17,3019540,杭州配送中心,16,10.6875,-0.9997480642436178,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
172,2019-07-16,3019540,杭州配送中心,15,8.466666666666667,-0.9998180463981685,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
171,2019-07-15,3019540,杭州配送中心,28,8.75,-0.9996230961104918,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
170,2019-07-14,3019540,杭州配送中心,50,8.66,-0.9993641621386546,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
169,2019-07-13,3019540,杭州配送中心,8,9.5,-0.9998640346711588,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
168,2019-07-12,3019540,杭州配送中心,30,9.1,-0.9995631114065913,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
167,2019-07-11,3019540,杭州配送中心,37,8.81081081081081,-0.9995071256829509,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
166,2019-07-10,3019540,杭州配送中心,92,9.032608695652174,-0.9986803365141889,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
165,2019-07-09,3019540,杭州配送中心,50,7.54,-0.999402152451125,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
164,2019-07-08,3019540,杭州配送中心,64,7.5,-0.9991992042029283,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
163,2019-07-07,3019540,杭州配送中心,122,7.729508196721311,-0.9984004078959865,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
162,2019-07-06,3019540,杭州配送中心,181,8.209944751381215,-0.997506635807869,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
161,2019-07-05,3019540,杭州配送中心,228,7.552631578947368,-0.9969297829053592,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
160,2019-07-04,3019540,杭州配送中心,231,7.147186147186147,-0.9968408055945733,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
159,2019-07-03,3019540,杭州配送中心,245,7.481632653061224,-0.9966278598957266,1000255,1000008,杭州配送中心商品仓,黄金油桃,箱
