,SENDER,DC_NAME,WRH,WAREHOUSE_NAME,NUM,GDGID,SKU_NAME,OCRDATE,CRTOTAL,MUNIT,QTY,QTYSTR,TOTAL,PRICE,QPC,RTOTAL
0,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-06,1000255,箱,10,1000255,1000255,270,1000255,580
1,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-19,1000255,箱,11,1000255,1000255,287,1000255,497
2,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-20,1000255,箱,3,1000255,1000255,87,1000255,181
3,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-21,1000255,箱,172,1000255,1000255,5129,1000255,9815
4,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-22,1000255,箱,733,1000255,1000255,21994,1000255,43308
5,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-23,1000255,箱,897,1000255,1000255,26844,1000255,54593
6,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-24,1000255,箱,2617,1000255,1000255,59874,1000255,125099
7,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-25,1000255,箱,5525,1000255,1000255,113179,1000255,242432
8,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-26,1000255,箱,8062,1000255,1000255,161618,1000255,330284
9,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-27,1000255,箱,9478,1000255,1000255,189954,1000255,382434
10,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-28,1000255,箱,8600,1000255,1000255,156452,1000255,339188
11,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-29,1000255,箱,9175,1000255,1000255,165973,1000255,350274
12,1000255,杭州配送中心,1000008,杭州配送中心商品仓,1000255,3006006,东魁御梅,2018-05-30,1000255,箱,9856,1000255,1000255,178135,1000255,371685
