,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate,profit_rate
338828,"['冰糖冬枣-约250g', '【甜】喀什西梅-约250-300g', '砀山酥梨-2只约550-600g']",27.32,"[-0.22222222222222232, 0.7777777777777768, 5.3]",3.3199999999999994,"[10.8, 21.8, 6.8]","[0.7201646090534979, 0.7237512742099897, 0.8660130718954248]","['-2.2222%', '3.7037%', '88.3333%']"
338847,"['冰糖冬枣-约250g', '【甜】喀什西梅-约250-300g', '越南酸奶百香果味-400g/4小杯']",36.32,"[-0.22222222222222232, 0.7777777777777768, 8.47]",5.490000000000002,"[10.8, 21.8, 16.8]","[0.7201646090534979, 0.7237512742099897, 0.8796296296296297]","['-2.2222%', '3.7037%', '52.9375%']"
338853,"['冰糖冬枣-约250g', '【甜】喀什西梅-约250-300g', '【鲜果切】西瓜鲜果切-约2斤']",39.10999999999999,"[-0.22222222222222232, 0.7777777777777768, 16.799999999999997]",13.509999999999996,"[10.8, 21.8, 19.9]","[0.7201646090534979, 0.7237512742099897, 0.843104410943607]","['-2.2222%', '3.7037%', '88.4211%']"
338860,"['冰糖冬枣-约250g', '【甜】喀什西梅-约250-300g', '【新鲜直达】A级进口车厘子-约250g']",61.52,"[-0.22222222222222232, 0.7777777777777768, -5.200000000000003]",-16.480000000000004,"[10.8, 21.8, 49.8]","[0.7201646090534979, 0.7237512742099897, 0.959393128067827]","['-2.8964%', '4.8274%', '-13.8320%']"
339247,"['冰糖冬枣-约250g', '【润喉佳品】百香果1只-柠檬1只', '【鲜果切】西瓜鲜果切-约2斤']",34.71,"[-0.22222222222222232, 4.888888888888889, 16.799999999999997]",18.11,"[10.8, 14.8, 19.9]","[0.7201646090534979, 0.7357357357357357, 0.843104410943607]","['-2.2222%', '34.9206%', '88.4211%']"
346558,"['阳光丑蜜梨-2只约600-650g', '阳光丑蜜梨-2只约600-650g', '红心猕猴桃-2只约180g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",70.43,"[4.777777777777778, 4.777777777777778, 8.7, 30.999999999999996]",36.42999999999999,"[10.8, 10.8, 10.9, 56.8]","[0.7201646090534979, 0.7201646090534979, 0.6320081549439348, 0.8059467918622849]","['41.2203%', '41.2203%', '75.0593%', '47.7594%']"
347596,"['阳光丑蜜梨-2只约600-650g', '【甜】喀什西梅-约250-300g', '红心猕猴桃-2只约180g']",31.01,"[4.777777777777778, 0.7777777777777768, 8.7]",11.309999999999999,"[10.8, 21.8, 10.9]","[0.7201646090534979, 0.7237512742099897, 0.6320081549439348]","['47.7778%', '3.7037%', '87.0000%']"
351114,"['【甜】喀什西梅-约250-300g', '【甜】喀什西梅-约250-300g']",28.4,"[0.7777777777777768, 0.7777777777777768]",-1.100000000000001,"[21.8, 21.8]","[0.7237512742099897, 0.7237512742099897]","['3.7037%', '3.7037%']"
351116,"['【甜】喀什西梅-约250-300g', '【甜】喀什西梅-约250-300g', '【鲜果切】新疆蜜瓜果切约200g/份']",35.42,"[0.7777777777777768, 0.7777777777777768, 5.8]",3.9199999999999986,"[21.8, 21.8, 7.8]","[0.7237512742099897, 0.7237512742099897, 0.3561253561253561]","['3.7037%', '3.7037%', '82.8571%']"
351137,"['【甜】喀什西梅-约250-300g', '【甜】喀什西梅-约250-300g', '越南酸奶百香果味-400g/4小杯']",43.52,"[0.7777777777777768, 0.7777777777777768, 8.47]",5.6899999999999995,"[21.8, 21.8, 16.8]","[0.7237512742099897, 0.7237512742099897, 0.8796296296296297]","['3.7037%', '3.7037%', '52.9375%']"
351150,"['【甜】喀什西梅-约250-300g', '【甜】喀什西梅-约250-300g', '【新鲜直达】A级进口车厘子-约250g']",68.72,"[0.7777777777777768, 0.7777777777777768, -5.200000000000003]",-16.28,"[21.8, 21.8, 49.8]","[0.7237512742099897, 0.7237512742099897, 0.959393128067827]","['4.8412%', '4.8412%', '-13.8715%']"
351190,"['【甜】喀什西梅-约250-300g', '【润喉佳品】百香果1只-柠檬1只', '菲诺纯椰汁-约180ml/袋']",31.019999999999996,"[0.7777777777777768, 4.888888888888889, 5.699999999999999]",8.42,"[21.8, 14.8, 7.8]","[0.7237512742099897, 0.7357357357357357, 0.6125356125356125]","['3.7037%', '34.9206%', '81.4286%']"
351193,"['【甜】喀什西梅-约250-300g', '【润喉佳品】百香果1只-柠檬1只', '红心猕猴桃-2只约180g']",33.809999999999995,"[0.7777777777777768, 4.888888888888889, 8.7]",11.11,"[21.8, 14.8, 10.9]","[0.7237512742099897, 0.7357357357357357, 0.6320081549439348]","['3.7037%', '34.9206%', '87.0000%']"
351207,"['【甜】喀什西梅-约250-300g', '【润喉佳品】百香果1只-柠檬1只', '【进口】越南红火龙果-1只500-550g']",37.32,"[0.7777777777777768, 4.888888888888889, 8.5]",10.52,"[21.8, 14.8, 14.8]","[0.7237512742099897, 0.7357357357357357, 0.7957957957957957]","['3.7037%', '34.9206%', '60.7143%']"
351216,"['【甜】喀什西梅-约250-300g', '【润喉佳品】百香果1只-柠檬1只', '【鲜果切】西瓜鲜果切-约2斤']",41.91,"[0.7777777777777768, 4.888888888888889, 16.799999999999997]",18.309999999999995,"[21.8, 14.8, 19.9]","[0.7237512742099897, 0.7357357357357357, 0.843104410943607]","['3.7037%', '34.9206%', '88.4211%']"
351223,"['【甜】喀什西梅-约250-300g', '【润喉佳品】百香果1只-柠檬1只', '【新鲜直达】A级进口车厘子-约250g']",64.32000000000001,"[0.7777777777777768, 4.888888888888889, -5.200000000000003]",-11.680000000000003,"[21.8, 14.8, 49.8]","[0.7237512742099897, 0.7357357357357357, 0.959393128067827]","['5.2892%', '49.8695%', '-15.1552%']"
351768,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【新鲜直达】A级进口车厘子-约250g']",53.970000000000006,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 2.5, -5.200000000000003]",-9.030000000000001,"[3.8, 7.8, 7.8, 3.8, 3.8, 49.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.0029239766081871348, 0.959393128067827]","['-66.7520%', '17.2634%', '59.4356%', '129.4758%', '129.4758%', '-16.4883%']"
351773,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【鲜果切】西瓜鲜果切-约2斤']",35.16,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 5.8, 16.799999999999997]",23.859999999999996,"[3.8, 7.8, 7.8, 3.8, 7.8, 19.9]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.3561253561253561, 0.843104410943607]","['-42.9630%', '11.1111%', '38.2540%', '83.3333%', '82.8571%', '88.4211%']"
351780,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【新鲜直达】A级进口车厘子-约250g']",57.57,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 5.8, -5.200000000000003]",-6.1300000000000034,"[3.8, 7.8, 7.8, 3.8, 7.8, 49.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.3561253561253561, 0.959393128067827]","['-78.0062%', '20.1740%', '69.4562%', '151.3051%', '150.4405%', '-19.2682%']"
