,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate,profit_rate
0,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【甜】喀什西梅-约250-300g']",26.470000000000002,"[-1.288888888888889, 2.5, 2.5, 6.800000000000001]",8.070000000000002,"[3.8, 3.8, 3.8, 21.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.7237512742099897]","['-42.9630%', '83.3333%', '83.3333%', '32.3810%']"
1,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【不吐籽大口吃】软籽石榴-1只350-450g']",25.57,"[-1.288888888888889, 2.5, 2.5, 8.8]",10.170000000000002,"[3.8, 3.8, 3.8, 20.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.9027777777777776]","['-42.9630%', '83.3333%', '83.3333%', '44.0000%']"
2,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '那么大西梅-约228g/罐']",27.37,"[-1.288888888888889, 2.5, 2.5, 10.8]",11.970000000000002,"[3.8, 3.8, 3.8, 22.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.8723196881091616]","['-42.9630%', '83.3333%', '83.3333%', '49.0909%']"
3,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",30.970000000000002,"[-1.288888888888889, 2.5, 2.5, 14.8]",15.570000000000002,"[3.8, 3.8, 3.8, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.8872305140961856]","['-42.9630%', '83.3333%', '83.3333%', '56.9231%']"
4,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '佳沛阳光金果36#-4只']",37.27,"[-1.288888888888889, 2.5, 2.5, 29.4]",29.469999999999995,"[3.8, 3.8, 3.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.8809993425378042]","['-42.9630%', '83.3333%', '83.3333%', '89.0909%']"
5,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",53.47,"[-1.288888888888889, 2.5, 2.5, 30.999999999999996]",23.77,"[3.8, 3.8, 3.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.8059467918622849]","['-33.9257%', '65.8042%', '65.8042%', '43.7128%']"
6,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【新鲜直达】A级进口车厘子-约250g']",47.17,"[-1.288888888888889, 2.5, 2.5, -5.200000000000003]",-11.73,"[3.8, 3.8, 3.8, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.0029239766081871348, 0.959393128067827]","['-61.2762%', '118.8548%', '118.8548%', '-15.1358%']"
9,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【甜】喀什西梅-约250-300g']",30.07,"[-1.288888888888889, 2.5, 5.8, 6.800000000000001]",10.97,"[3.8, 3.8, 7.8, 21.8]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.7237512742099897]","['-42.9630%', '83.3333%', '82.8571%', '32.3810%']"
11,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【鲜果切】西瓜鲜果切-约2斤']",28.36,"[-1.288888888888889, 2.5, 5.8, 16.799999999999997]",21.16,"[3.8, 3.8, 7.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.843104410943607]","['-42.9630%', '83.3333%', '82.8571%', '88.4211%']"
13,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【不吐籽大口吃】软籽石榴-1只350-450g']",29.17,"[-1.288888888888889, 2.5, 5.8, 8.8]",13.07,"[3.8, 3.8, 7.8, 20.8]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.9027777777777776]","['-42.9630%', '83.3333%', '82.8571%', '44.0000%']"
15,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",34.57,"[-1.288888888888889, 2.5, 5.8, 14.8]",18.47,"[3.8, 3.8, 7.8, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.8872305140961856]","['-42.9630%', '83.3333%', '82.8571%', '56.9231%']"
16,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '佳沛阳光金果36#-4只']",40.870000000000005,"[-1.288888888888889, 2.5, 5.8, 29.4]",32.370000000000005,"[3.8, 3.8, 7.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.8809993425378042]","['-42.9630%', '83.3333%', '82.8571%', '89.0909%']"
17,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",57.07,"[-1.288888888888889, 2.5, 5.8, 30.999999999999996]",26.669999999999995,"[3.8, 3.8, 7.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.8059467918622849]","['-34.9084%', '67.7103%', '67.3234%', '44.9790%']"
18,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '【新鲜直达】A级进口车厘子-约250g']",50.77,"[-1.288888888888889, 2.5, 5.8, -5.200000000000003]",-8.830000000000002,"[3.8, 3.8, 7.8, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.3561253561253561, 0.959393128067827]","['-67.2908%', '130.5210%', '129.7751%', '-16.6214%']"
33,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '【鲜果切】西瓜鲜果切-约2斤']",27.459999999999997,"[-1.288888888888889, 2.5, 5.3, 16.799999999999997]",20.759999999999998,"[3.8, 3.8, 6.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.8660130718954248, 0.843104410943607]","['-42.9630%', '83.3333%', '88.3333%', '88.4211%']"
35,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '【不吐籽大口吃】软籽石榴-1只350-450g']",28.27,"[-1.288888888888889, 2.5, 5.3, 8.8]",12.670000000000002,"[3.8, 3.8, 6.8, 20.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8660130718954248, 0.9027777777777776]","['-42.9630%', '83.3333%', '88.3333%', '44.0000%']"
37,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",33.67,"[-1.288888888888889, 2.5, 5.3, 14.8]",18.07,"[3.8, 3.8, 6.8, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8660130718954248, 0.8872305140961856]","['-42.9630%', '83.3333%', '88.3333%', '56.9231%']"
38,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '佳沛阳光金果36#-4只']",39.97,"[-1.288888888888889, 2.5, 5.3, 29.4]",31.970000000000002,"[3.8, 3.8, 6.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8660130718954248, 0.8809993425378042]","['-42.9630%', '83.3333%', '88.3333%', '89.0909%']"
39,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",56.17,"[-1.288888888888889, 2.5, 5.3, 30.999999999999996]",26.269999999999996,"[3.8, 3.8, 6.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8660130718954248, 0.8059467918622849]","['-34.7858%', '67.4724%', '71.5207%', '44.8210%']"
40,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '【新鲜直达】A级进口车厘子-约250g']",49.870000000000005,"[-1.288888888888889, 2.5, 5.3, -5.200000000000003]",-9.23,"[3.8, 3.8, 6.8, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8660130718954248, 0.959393128067827]","['-66.2365%', '128.4760%', '136.1845%', '-16.3610%']"
53,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '【润喉佳品】百香果1只-柠檬1只']",26.560000000000002,"[-1.288888888888889, 2.5, 8.7, 8.8]",16.259999999999998,"[3.8, 3.8, 10.9, 14.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.7357357357357357]","['-42.9630%', '83.3333%', '87.0000%', '62.8571%']"
55,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '【鲜果切】红心火龙果-约350g/份']",27.46,"[-1.288888888888889, 2.5, 8.7, 9.8]",17.159999999999997,"[3.8, 3.8, 10.9, 15.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.8087201125175808]","['-42.9630%', '83.3333%', '87.0000%', '65.3333%']"
57,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '越南酸奶百香果味-400g/4小杯']",28.360000000000003,"[-1.288888888888889, 2.5, 8.7, 8.47]",15.73,"[3.8, 3.8, 10.9, 16.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.8796296296296297]","['-42.9630%', '83.3333%', '87.0000%', '52.9375%']"
61,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '【甜】喀什西梅-约250-300g']",32.86,"[-1.288888888888889, 2.5, 8.7, 6.800000000000001]",13.559999999999999,"[3.8, 3.8, 10.9, 21.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.7237512742099897]","['-42.9630%', '83.3333%', '87.0000%', '32.3810%']"
62,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '【鲜果切】鲜橙果切-约350g/份']",30.160000000000004,"[-1.288888888888889, 2.5, 8.7, 12.700000000000001]",19.76,"[3.8, 3.8, 10.9, 18.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.8392434988179668]","['-42.9630%', '83.3333%', '87.0000%', '70.5556%']"
63,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '【鲜果切】西瓜鲜果切-约2斤']",31.150000000000002,"[-1.288888888888889, 2.5, 8.7, 16.799999999999997]",23.749999999999996,"[3.8, 3.8, 10.9, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.843104410943607]","['-42.9630%', '83.3333%', '87.0000%', '88.4211%']"
66,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '那么大西梅-约228g/罐']",33.760000000000005,"[-1.288888888888889, 2.5, 8.7, 10.8]",17.459999999999997,"[3.8, 3.8, 10.9, 22.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.8723196881091616]","['-42.9630%', '83.3333%', '87.0000%', '49.0909%']"
67,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",37.36,"[-1.288888888888889, 2.5, 8.7, 14.8]",21.06,"[3.8, 3.8, 10.9, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.8872305140961856]","['-42.9630%', '83.3333%', '87.0000%', '56.9231%']"
68,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '佳沛阳光金果36#-4只']",43.66,"[-1.288888888888889, 2.5, 8.7, 29.4]",34.96,"[3.8, 3.8, 10.9, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.8809993425378042]","['-42.9630%', '83.3333%', '87.0000%', '89.0909%']"
69,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",59.86,"[-1.288888888888889, 2.5, 8.7, 30.999999999999996]",29.259999999999994,"[3.8, 3.8, 10.9, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.8059467918622849]","['-35.6214%', '69.0932%', '72.1333%', '45.8976%']"
70,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '红心猕猴桃-2只约180g', '【新鲜直达】A级进口车厘子-约250g']",53.559999999999995,"[-1.288888888888889, 2.5, 8.7, -5.200000000000003]",-6.240000000000003,"[3.8, 3.8, 10.9, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.6320081549439348, 0.959393128067827]","['-77.3884%', '150.1068%', '156.7115%', '-19.1156%']"
79,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】菲律宾香蕉-约500~550g/份', '【鲜果切】西瓜鲜果切-约2斤']",29.259999999999994,"[-1.288888888888889, 2.5, 5.000000000000001, 16.799999999999997]",20.259999999999998,"[3.8, 3.8, 8.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.8838383838383838, 0.843104410943607]","['-42.9630%', '83.3333%', '62.5000%', '88.4211%']"
82,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】菲律宾香蕉-约500~550g/份', '那么大西梅-约228g/罐']",31.87,"[-1.288888888888889, 2.5, 5.000000000000001, 10.8]",13.970000000000002,"[3.8, 3.8, 8.8, 22.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8838383838383838, 0.8723196881091616]","['-42.9630%', '83.3333%', '62.5000%', '49.0909%']"
83,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】菲律宾香蕉-约500~550g/份', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",35.47,"[-1.288888888888889, 2.5, 5.000000000000001, 14.8]",17.570000000000004,"[3.8, 3.8, 8.8, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8838383838383838, 0.8872305140961856]","['-42.9630%', '83.3333%', '62.5000%', '56.9231%']"
84,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】菲律宾香蕉-约500~550g/份', '佳沛阳光金果36#-4只']",41.77,"[-1.288888888888889, 2.5, 5.000000000000001, 29.4]",31.470000000000006,"[3.8, 3.8, 8.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8838383838383838, 0.8809993425378042]","['-42.9630%', '83.3333%', '62.5000%', '89.0909%']"
85,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】菲律宾香蕉-约500~550g/份', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",57.97,"[-1.288888888888889, 2.5, 5.000000000000001, 30.999999999999996]",25.77,"[3.8, 3.8, 8.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8838383838383838, 0.8059467918622849]","['-34.6271%', '67.1647%', '50.3735%', '44.6165%']"
86,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】菲律宾香蕉-约500~550g/份', '【新鲜直达】A级进口车厘子-约250g']",51.67,"[-1.288888888888889, 2.5, 5.000000000000001, -5.200000000000003]",-9.73,"[3.8, 3.8, 8.8, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8838383838383838, 0.959393128067827]","['-65.0405%', '126.1562%', '94.6172%', '-16.0656%']"
97,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '阳光丑蜜梨-2只约600-650g', '【鲜果切】西瓜鲜果切-约2斤']",31.059999999999995,"[-1.288888888888889, 2.5, 7.800000000000001, 16.799999999999997]",22.86,"[3.8, 3.8, 10.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.7201646090534979, 0.843104410943607]","['-42.9630%', '83.3333%', '78.0000%', '88.4211%']"
102,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '阳光丑蜜梨-2只约600-650g', '佳沛阳光金果36#-4只']",43.57,"[-1.288888888888889, 2.5, 7.800000000000001, 29.4]",34.07,"[3.8, 3.8, 10.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.7201646090534979, 0.8809993425378042]","['-42.9630%', '83.3333%', '78.0000%', '89.0909%']"
103,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '阳光丑蜜梨-2只约600-650g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",59.77,"[-1.288888888888889, 2.5, 7.800000000000001, 30.999999999999996]",28.369999999999997,"[3.8, 3.8, 10.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.7201646090534979, 0.8059467918622849]","['-35.3911%', '68.6465%', '64.2531%', '45.6009%']"
113,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '冰糖冬枣-约250g', '【甜】喀什西梅-约250-300g']",32.77,"[-1.288888888888889, 2.5, 2.8000000000000007, 6.800000000000001]",7.6700000000000035,"[3.8, 3.8, 10.8, 21.8]","[0.0029239766081871348, 0.0029239766081871348, 0.7201646090534979, 0.7237512742099897]","['-42.9630%', '83.3333%', '28.0000%', '32.3810%']"
137,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】玉麒麟西瓜果切-约350g/份', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",36.370000000000005,"[-1.288888888888889, 2.5, 6.700000000000001, 14.8]",19.17,"[3.8, 3.8, 9.8, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8956916099773243, 0.8872305140961856]","['-42.9630%', '83.3333%', '74.4444%', '56.9231%']"
138,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】玉麒麟西瓜果切-约350g/份', '佳沛阳光金果36#-4只']",42.67,"[-1.288888888888889, 2.5, 6.700000000000001, 29.4]",33.07,"[3.8, 3.8, 9.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8956916099773243, 0.8809993425378042]","['-42.9630%', '83.3333%', '74.4444%', '89.0909%']"
139,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】玉麒麟西瓜果切-约350g/份', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",58.870000000000005,"[-1.288888888888889, 2.5, 6.700000000000001, 30.999999999999996]",27.37,"[3.8, 3.8, 9.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8956916099773243, 0.8059467918622849]","['-35.1144%', '68.1099%', '60.8448%', '45.2444%']"
140,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】玉麒麟西瓜果切-约350g/份', '【新鲜直达】A级进口车厘子-约250g']",52.57,"[-1.288888888888889, 2.5, 6.700000000000001, -5.200000000000003]",-8.13,"[3.8, 3.8, 9.8, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8956916099773243, 0.959393128067827]","['-69.3854%', '134.5838%', '120.2282%', '-17.1388%']"
252,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '锦绣黄桃子-2只500-600g', '【鲜果切】西瓜鲜果切-约2斤']",32.86,"[-1.288888888888889, 2.5, 8.8, 16.799999999999997]",23.66,"[3.8, 3.8, 12.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.7725694444444444, 0.843104410943607]","['-42.9630%', '83.3333%', '73.3333%', '88.4211%']"
257,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '锦绣黄桃子-2只500-600g', '佳沛阳光金果36#-4只']",45.370000000000005,"[-1.288888888888889, 2.5, 8.8, 29.4]",34.870000000000005,"[3.8, 3.8, 12.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.7725694444444444, 0.8809993425378042]","['-42.9630%', '83.3333%', '73.3333%', '89.0909%']"
258,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '锦绣黄桃子-2只500-600g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",61.57,"[-1.288888888888889, 2.5, 8.8, 30.999999999999996]",29.169999999999995,"[3.8, 3.8, 12.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.7725694444444444, 0.8059467918622849]","['-35.5987%', '69.0493%', '60.7633%', '45.8684%']"
259,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '锦绣黄桃子-2只500-600g', '【新鲜直达】A级进口车厘子-约250g']",55.27,"[-1.288888888888889, 2.5, 8.8, -5.200000000000003]",-6.330000000000002,"[3.8, 3.8, 12.8, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.7725694444444444, 0.959393128067827]","['-76.8990%', '149.1575%', '131.2586%', '-18.9947%']"
279,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【杨果铺】海带结-1袋192g', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",39.07,"[-1.288888888888889, 2.5, 7.000000000000001, 14.8]",19.17,"[3.8, 3.8, 12.8, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8420138888888887, 0.8872305140961856]","['-42.9630%', '83.3333%', '58.3333%', '56.9231%']"
358,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】越南红火龙果-1只500-550g', '【鲜果切】西瓜鲜果切-约2斤']",34.66,"[-1.288888888888889, 2.5, 8.5, 16.799999999999997]",23.159999999999997,"[3.8, 3.8, 14.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.7957957957957957, 0.843104410943607]","['-42.9630%', '83.3333%', '60.7143%', '88.4211%']"
363,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】越南红火龙果-1只500-550g', '佳沛阳光金果36#-4只']",47.17,"[-1.288888888888889, 2.5, 8.5, 29.4]",34.37,"[3.8, 3.8, 14.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.7957957957957957, 0.8809993425378042]","['-42.9630%', '83.3333%', '60.7143%', '89.0909%']"
364,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【进口】越南红火龙果-1只500-550g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",63.370000000000005,"[-1.288888888888889, 2.5, 8.5, 30.999999999999996]",28.669999999999998,"[3.8, 3.8, 14.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.7957957957957957, 0.8059467918622849]","['-35.4703%', '68.8001%', '50.1258%', '45.7029%']"
389,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】红心火龙果-约350g/份', '【鲜果切】西瓜鲜果切-约2斤']",35.559999999999995,"[-1.288888888888889, 2.5, 9.8, 16.799999999999997]",24.36,"[3.8, 3.8, 15.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.8087201125175808, 0.843104410943607]","['-42.9630%', '83.3333%', '65.3333%', '88.4211%']"
394,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】红心火龙果-约350g/份', '佳沛阳光金果36#-4只']",48.07,"[-1.288888888888889, 2.5, 9.8, 29.4]",35.57,"[3.8, 3.8, 15.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8087201125175808, 0.8809993425378042]","['-42.9630%', '83.3333%', '65.3333%', '89.0909%']"
395,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】红心火龙果-约350g/份', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",64.27,"[-1.288888888888889, 2.5, 9.8, 30.999999999999996]",29.869999999999997,"[3.8, 3.8, 15.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8087201125175808, 0.8059467918622849]","['-35.7713%', '69.3840%', '54.3971%', '46.0908%']"
457,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '越南酸奶百香果味-400g/4小杯', '【鲜果切】西瓜鲜果切-约2斤']",36.459999999999994,"[-1.288888888888889, 2.5, 8.47, 16.799999999999997]",22.93,"[3.8, 3.8, 16.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.8796296296296297, 0.843104410943607]","['-42.9630%', '83.3333%', '52.9375%', '88.4211%']"
462,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '越南酸奶百香果味-400g/4小杯', '佳沛阳光金果36#-4只']",48.97,"[-1.288888888888889, 2.5, 8.47, 29.4]",34.14,"[3.8, 3.8, 16.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8796296296296297, 0.8809993425378042]","['-42.9630%', '83.3333%', '52.9375%', '89.0909%']"
463,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '越南酸奶百香果味-400g/4小杯', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",65.17,"[-1.288888888888889, 2.5, 8.47, 30.999999999999996]",28.439999999999998,"[3.8, 3.8, 16.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8796296296296297, 0.8059467918622849]","['-35.4097%', '68.6826%', '43.6306%', '45.6249%']"
621,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】鲜橙果切-约350g/份', '【鲜果切】西瓜鲜果切-约2斤']",38.26,"[-1.288888888888889, 2.5, 12.700000000000001, 16.799999999999997]",26.959999999999997,"[3.8, 3.8, 18.8, 19.9]","[0.0029239766081871348, 0.0029239766081871348, 0.8392434988179668, 0.843104410943607]","['-42.9630%', '83.3333%', '70.5556%', '88.4211%']"
625,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】鲜橙果切-约350g/份', '【不吐籽大口吃】手剥软籽石榴-1盒300g']",44.47,"[-1.288888888888889, 2.5, 12.700000000000001, 14.8]",24.270000000000003,"[3.8, 3.8, 18.8, 26.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8392434988179668, 0.8872305140961856]","['-42.9630%', '83.3333%', '70.5556%', '56.9231%']"
626,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】鲜橙果切-约350g/份', '佳沛阳光金果36#-4只']",46.27,"[-1.288888888888889, 2.5, 12.700000000000001, 29.4]",33.17,"[3.8, 3.8, 18.8, 33.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8392434988179668, 0.8809993425378042]","['-36.4868%', '70.7718%', '59.9201%', '75.6615%']"
627,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】鲜橙果切-约350g/份', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",66.97,"[-1.288888888888889, 2.5, 12.700000000000001, 30.999999999999996]",32.47,"[3.8, 3.8, 18.8, 56.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8392434988179668, 0.8059467918622849]","['-36.3472%', '70.5010%', '59.6908%', '46.8328%']"
628,"['砀山酥梨-1只约300g', '砀山酥梨-1只约300g', '【鲜果切】鲜橙果切-约350g/份', '【新鲜直达】A级进口车厘子-约250g']",60.67,"[-1.288888888888889, 2.5, 12.700000000000001, -5.200000000000003]",-3.030000000000001,"[3.8, 3.8, 18.8, 49.8]","[0.0029239766081871348, 0.0029239766081871348, 0.8392434988179668, 0.959393128067827]","['-113.8589%', '220.8471%', '186.9839%', '-28.1242%']"
